date,milestone,change,workload,recordsize,jobs,qat_elapsed_ms,sw_elapsed_ms,qat_vs_sw_pct,delta_vs_initial_controlled_pp,qat_write_mib_s,sw_write_mib_s,cpu_metric,qat_cpu,sw_cpu,cpu_reduction_pct,qat_byte_share_pct,compression_ratio,artifact,note
2026-05-12,Initial controlled baseline,Out-of-box static QAT path; no phase 4 optimizations yet,Image.tif write,128K,1,296.000,244.000,-21.311,0.000,616.490,747.880,cpu_active_pct,2.410,9.400,74.362,100.010,17.110,host-root-import-20260523/zfs-qat-phase4-20260512-170610.csv,Initial static QAT 128K offload baseline.
2026-05-12,Initial controlled baseline,Out-of-box static QAT path; no phase 4 optimizations yet,Image.tif write,1M,1,269.000,243.000,-10.700,0.000,678.370,750.950,cpu_active_pct,8.750,8.870,1.353,0.000,25.170,host-root-import-20260523/zfs-qat-phase4-20260512-170610.csv,Initial 1M QAT-mode row fell back to software because comp_requests=0.
2026-05-17,Async cap policy,Async cap policy=fixed,Image.tif write,1M,4,858.618,940.062,8.664,19.363,852.150,776.767,cpu_active_pct,11.283,13.263,14.928,33.611,25.353,host-root-import-20260523/zfs-qat-phase4-async-dc6-policy-fixed-jobs4-20260517.csv,"Policy changes improve elapsed mostly by balancing QAT share and fallback, not by making every QAT request faster."
2026-05-17,Async cap policy,Async cap policy=recordsize,Image.tif write,1M,4,901.087,977.362,7.804,18.504,810.180,746.943,cpu_active_pct,10.670,12.887,17.201,32.286,25.357,host-root-import-20260523/zfs-qat-phase4-async-dc6-policy-recordsize-jobs4-20260517.csv,"Policy changes improve elapsed mostly by balancing QAT share and fallback, not by making every QAT request faster."
2026-05-18,Single card policy baseline,Single card policy baseline,Image.tif write,1M,8,1631.944,1710.485,4.592,15.291,894.927,854.117,cpu_s_per_gib,11.629,18.970,38.699,36.283,25.387,references/benchmarks/zfs-qat-scale-single-card-jobs8-20260518.csv,Dual-card scale helped 1M at higher concurrency but did not solve 128K latency.
2026-05-18,Dual card scale retest,Dual card scale retest,Image.tif write,1M,8,1346.845,1455.752,7.481,18.181,1086.900,1003.050,cpu_s_per_gib,8.399,12.132,30.767,48.247,25.427,references/benchmarks/zfs-qat-scale-dual-card-jobs8-20260518.csv,Dual-card scale helped 1M at higher concurrency but did not solve 128K latency.
2026-05-19,DKMS lockstep regression,QAT/ZFS DKMS lockstep packaging; default 128K profile,Image.tif write,128K,4,1202.227,1098.239,-9.469,11.843,607.425,664.920,cpu_s_per_gib,3.857,12.431,68.971,100.010,16.920,references/benchmarks/zfs-qat-dkms-regression-20260519.csv,Functional QAT regression check; 128K still slower but CPU much lower.
2026-05-19,1M profile target,Profile max-buffer target allows 1M records to use QAT,Image.tif write,1M,1,552.474,563.910,2.028,12.728,330.360,323.647,cpu_s_per_gib,2.209,9.038,75.560,100.280,25.150,references/benchmarks/zfs-qat-post-dkms-target1m-jobs1-20260519.csv,Pure QAT offload row; concurrency still penalized service/wait time.
2026-05-19,1M profile target,Profile max-buffer target allows 1M records to use QAT,Image.tif write,1M,4,1038.568,914.352,-13.585,-2.886,702.913,798.457,cpu_s_per_gib,2.207,10.959,79.864,100.280,25.250,references/benchmarks/zfs-qat-post-dkms-target1m-jobs4-20260519.csv,Pure QAT offload row; concurrency still penalized service/wait time.
2026-05-19,1M profile target,Profile max-buffer target allows 1M records to use QAT,Image.tif write,1M,8,1472.747,1377.174,-6.940,3.760,993.363,1061.883,cpu_s_per_gib,2.235,11.875,81.184,100.807,25.260,references/benchmarks/zfs-qat-post-dkms-target1m-jobs8-20260519.csv,Pure QAT offload row; concurrency still penalized service/wait time.
2026-05-21,Async matrix,"Async QAT enabled, interrupt completion",Image.tif write,1M,4,839.001,935.248,10.291,20.991,871.003,780.730,cpu_s_per_gib,7.047,11.338,37.846,50.370,25.263,artifacts/zfs-qat-async-matrix-summary-20260521.csv,Hybrid result; faster elapsed includes software fallback when cap is reached.
2026-05-21,Async matrix,"Async QAT enabled, interrupt completion",Image.tif write,1M,8,1289.009,1734.673,25.692,36.391,1134.610,841.797,cpu_s_per_gib,7.017,15.683,55.257,65.120,25.263,artifacts/zfs-qat-async-matrix-summary-20260521.csv,Hybrid result; faster elapsed includes software fallback when cap is reached.
2026-05-21,Async matrix,"Async QAT enabled, poll completion",Image.tif write,1M,4,862.236,991.949,13.077,23.776,847.210,743.633,cpu_s_per_gib,7.074,11.476,38.358,55.620,25.243,artifacts/zfs-qat-async-matrix-summary-20260521.csv,Hybrid result; faster elapsed includes software fallback when cap is reached.
2026-05-21,Async matrix,"Async QAT enabled, poll completion",Image.tif write,1M,8,1281.100,1470.340,12.870,23.570,1142.180,996.340,cpu_s_per_gib,7.386,12.254,39.726,59.003,25.283,artifacts/zfs-qat-async-matrix-summary-20260521.csv,Hybrid result; faster elapsed includes software fallback when cap is reached.
2026-05-22,Step 5 source shape baseline,"Async, source coalescing off",Image.tif write,1M,4,896.258,961.160,6.753,17.452,815.030,759.655,cpu_s_per_gib,5.447,11.047,50.693,77.265,,artifacts/zfs-qat-step5-src-coalesce-summary-20260522.csv,Baseline before source coalescing retest.
2026-05-22,Source coalescing retest,"Async, source coalescing on",Image.tif write,1M,4,905.383,911.109,0.628,11.328,808.040,801.235,cpu_s_per_gib,6.039,11.258,46.362,88.500,,artifacts/zfs-qat-step5-src-coalesce-summary-20260522.csv,Source coalescing reduced source buffers but did not justify default enablement.
2026-05-22,Service split,QAT service split cydc,Image.tif write,1M,4,929.197,968.549,4.063,14.763,788.550,753.855,cpu_s_per_gib,5.496,11.817,53.488,79.940,,artifacts/zfs-qat-service-split-summary-20260522.csv,Comparable current best window; cy=0 improved byte share at jobs=4.
2026-05-22,Service split,QAT service split cydc,Image.tif write,1M,8,1243.771,1483.295,16.148,26.848,1174.200,988.475,cpu_s_per_gib,5.912,13.452,56.053,75.795,,artifacts/zfs-qat-service-split-summary-20260522.csv,Comparable current best window; cy=0 improved byte share at jobs=4.
2026-05-22,Service split,QAT service split cydc_kernelcy0,Image.tif write,1M,4,906.954,958.131,5.341,16.041,805.815,761.930,cpu_s_per_gib,5.090,12.561,59.482,90.285,,artifacts/zfs-qat-service-split-summary-20260522.csv,Comparable current best window; cy=0 improved byte share at jobs=4.
2026-05-22,Service split,QAT service split cydc_kernelcy0,Image.tif write,1M,8,1296.980,1436.229,9.695,20.395,1126.255,1016.780,cpu_s_per_gib,6.477,12.750,49.201,76.820,,artifacts/zfs-qat-service-split-summary-20260522.csv,Comparable current best window; cy=0 improved byte share at jobs=4.
2026-05-23,Kernel QAT polling smoke,[KERNEL_QAT] polling enabled,Image.tif write,1M,4,880.826,941.119,6.406,17.106,829.085,775.860,cpu_s_per_gib,5.651,11.294,49.969,76.100,,artifacts/zfs-qat-kernelqat-poll-summary-20260523.csv,"Narrow smoke looked good, but the expanded matrix later showed mixed results."
2026-05-23,Kernel QAT polling smoke,[KERNEL_QAT] polling enabled,Image.tif write,1M,8,1231.251,1462.120,15.790,26.490,1186.030,998.645,cpu_s_per_gib,6.161,12.206,49.520,76.105,,artifacts/zfs-qat-kernelqat-poll-summary-20260523.csv,"Narrow smoke looked good, but the expanded matrix later showed mixed results."
2026-05-23,Completion matrix,Lockstep interrupt completion,Image.tif write,1M,4,868.203,925.649,6.206,16.906,,,cpu_s_per_gib,5.603,11.304,50.434,76.554,,artifacts/zfs-qat-completion-mode-matrix-summary-20260523.csv,Expanded lockstep matrix; polling helped jobs=12 but regressed jobs=8.
2026-05-23,Completion matrix,Lockstep interrupt completion,Image.tif write,1M,8,1290.940,1486.666,13.165,23.865,,,cpu_s_per_gib,6.010,13.398,55.139,78.500,,artifacts/zfs-qat-completion-mode-matrix-summary-20260523.csv,Expanded lockstep matrix; polling helped jobs=12 but regressed jobs=8.
2026-05-23,Completion matrix,Lockstep interrupt completion,Image.tif write,1M,12,1591.687,1624.666,2.030,12.729,,,cpu_s_per_gib,7.227,12.413,41.779,71.268,,artifacts/zfs-qat-completion-mode-matrix-summary-20260523.csv,Expanded lockstep matrix; polling helped jobs=12 but regressed jobs=8.
2026-05-23,Completion matrix,Lockstep poll completion,Image.tif write,1M,4,933.537,1086.866,14.107,24.807,,,cpu_s_per_gib,5.229,12.554,58.351,88.200,,artifacts/zfs-qat-completion-mode-matrix-summary-20260523.csv,Expanded lockstep matrix; polling helped jobs=12 but regressed jobs=8.
