config,media,shape_stats,recordsize,n,sha_ok_all,elapsed_ms_avg,write_bw_mib_s_avg,cpu_active_pct_avg,cpu_active_s_per_gib_avg,qat_byte_share_pct_avg,dc_fails_delta_sum,dc_buffer_reuse_hits_delta_sum,dc_buffer_reuse_misses_delta_sum,dc_compress_req_slot_delta_sum,diag_counter_delta_sum,dc_compress_page_array_stack_src_delta_sum,dc_compress_page_array_heap_src_delta_sum,dc_compress_page_array_slot_src_delta_sum,dc_compress_page_array_stack_dst_delta_sum,dc_compress_page_array_heap_dst_delta_sum,dc_compress_page_array_slot_dst_delta_sum,dc_compress_page_array_stack_scratch_delta_sum,dc_compress_page_array_heap_scratch_delta_sum,dc_compress_page_array_slot_scratch_delta_sum
default,hdd,on,128K,2,yes,1071.911,681.085,5.285,5.087823,100.0,0.0,11680.0,0.0,11680.0,58400.0,11680.0,0.0,0.0,11680.0,0.0,0.0,11680.0,0.0,0.0
default,hdd,on,1M,2,yes,942.8195000000001,774.495,14.17,11.994119999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,hdd,profile,128K,2,yes,1145.1025,637.6400000000001,5.09,5.233693,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,hdd,profile,1M,2,yes,979.6105,745.5799999999999,13.655000000000001,12.002548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,nvme,on,128K,2,yes,841.508,867.41,5.4399999999999995,4.109947999999999,100.0,0.0,11680.0,0.0,11680.0,58400.0,11680.0,0.0,0.0,11680.0,0.0,0.0,11680.0,0.0,0.0
default,nvme,on,1M,2,yes,770.582,947.425,17.1,11.829573499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,nvme,profile,128K,2,yes,826.5029999999999,883.365,5.04,3.7394515,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,nvme,profile,1M,2,yes,708.7249999999999,1030.0,17.689999999999998,11.2563925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
throughput1m,hdd,on,512K,2,yes,905.5635,807.015,9.575,7.775271999999999,46.785,0.0,1366.0,0.0,1366.0,6830.0,0.0,0.0,1366.0,0.0,0.0,1366.0,1366.0,0.0,0.0
throughput1m,hdd,on,1M,2,yes,853.4960000000001,855.22,7.295,5.5903005,75.625,0.0,1104.0,0.0,1104.0,5520.0,0.0,0.0,1104.0,0.0,0.0,1104.0,0.0,0.0,1104.0
throughput1m,hdd,profile,512K,2,yes,955.576,764.97,8.695,7.4349555,56.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
throughput1m,hdd,profile,1M,2,yes,895.8515,816.865,6.6,5.2692185,83.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
throughput1m,nvme,on,512K,2,yes,694.707,1050.8049999999998,12.07,7.527321,44.665,0.0,1304.0,0.0,1304.0,6520.0,0.0,0.0,1304.0,0.0,0.0,1304.0,1304.0,0.0,0.0
throughput1m,nvme,on,1M,2,yes,736.9105,990.69,8.27,5.466237,76.85499999999999,0.0,1122.0,0.0,1122.0,5610.0,0.0,0.0,1122.0,0.0,0.0,1122.0,0.0,0.0,1122.0
throughput1m,nvme,profile,512K,2,yes,693.8275,1052.0300000000002,12.315000000000001,7.671825,46.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
throughput1m,nvme,profile,1M,2,yes,740.7805000000001,985.515,8.004999999999999,5.321082499999999,78.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
