profile,media,timing,record,n,elapsed_ms,write_bw_mib_s,cpu_active_pct,cpu_active_s_per_gib,qat_byte_share_pct,qat_setup_ns_per_req,qat_submit_ns_per_req,qat_cleanup_ns_per_req,qat_wait_ns_per_req,dc_compress_bound_ns_delta,dc_compress_setup_ns_delta,dc_compress_cleanup_ns_delta,dc_fails_delta
default,hdd,off,128K,3,1150.082000,634.956667,3.810000,3.933961,100.000000,0.000000,0.000000,0.000000,1337922.780000,0.000000,0.000000,0.000000,0.000000
default,hdd,off,1M,3,958.598000,761.553333,13.803333,11.877356,0.000000,na,na,na,na,0.000000,0.000000,0.000000,0.000000
default,hdd,on,128K,3,1130.126000,646.286667,3.803333,3.860164,100.000000,5983.452000,8005.140000,296.648667,1344140.546333,1946084.000000,34943362.000000,1732427.000000,0.000000
default,hdd,on,1M,3,972.294667,750.773333,13.483333,11.770802,0.000000,na,na,na,na,0.000000,0.000000,0.000000,0.000000
default,nvme,off,128K,3,942.138667,774.836667,3.416667,2.890236,100.000000,0.000000,0.000000,0.000000,1270057.165000,0.000000,0.000000,0.000000,0.000000
default,nvme,off,1M,3,727.558333,1003.836667,16.730000,10.914011,0.000000,na,na,na,na,0.000000,0.000000,0.000000,0.000000
default,nvme,on,128K,3,961.689000,759.190000,3.293333,2.842974,100.000000,9562.037000,10294.607333,290.586667,1364840.174333,2080440.666667,55842296.000000,1697024.666667,0.000000
default,nvme,on,1M,3,724.879333,1007.220000,17.373333,11.303732,0.000000,na,na,na,na,0.000000,0.000000,0.000000,0.000000
throughput1m,hdd,off,1M,3,862.997333,847.616667,5.820000,4.498324,73.800000,0.000000,38817.872667,0.000000,32939070.719667,0.000000,0.000000,0.000000,0.000000
throughput1m,hdd,off,512K,3,903.297667,809.080000,7.970000,6.447235,52.106667,0.000000,21941.869333,0.000000,9981573.016667,0.000000,0.000000,0.000000,0.000000
throughput1m,hdd,on,1M,3,862.174667,847.200000,5.796667,4.483686,72.336667,37758.123667,38685.716333,140.238000,33453686.943000,231383.333333,19936710.666667,74037.000000,0.000000
throughput1m,hdd,on,512K,3,943.721333,777.260000,7.783333,6.563538,47.240000,21816.532333,22259.936333,130.863667,10104957.549000,299847.333333,15047800.666667,90206.666667,0.000000
throughput1m,nvme,off,1M,3,706.272667,1033.526667,6.260000,3.971264,73.523333,0.000000,38061.801667,0.000000,32815284.782000,0.000000,0.000000,0.000000,0.000000
throughput1m,nvme,off,512K,3,718.628333,1016.783333,9.810000,6.323503,45.233333,0.000000,22013.675667,0.000000,10051885.701000,0.000000,0.000000,0.000000,0.000000
throughput1m,nvme,on,1M,3,726.716667,1004.443333,6.250000,4.078540,75.716667,38431.025667,38666.575667,152.807333,31836201.403333,242566.666667,21235762.000000,84513.333333,0.000000
throughput1m,nvme,on,512K,3,713.042333,1024.726667,10.063333,6.440778,45.276667,23821.396000,21916.633000,129.211000,10024828.991000,276440.000000,15745216.000000,85403.333333,0.000000
