row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,qat_driver_submits_delta,qat_driver_comp_submits_delta,qat_driver_decomp_submits_delta,qat_driver_tx_retries_delta,qat_driver_tx_errors_delta,qat_driver_callbacks_delta,qat_driver_comp_callbacks_delta,qat_driver_decomp_callbacks_delta,qat_driver_create_ns_delta,qat_driver_trans_put_ns_delta,qat_driver_response_wait_ns_delta,qat_driver_callback_process_ns_delta,qat_driver_user_callback_ns_delta,qat_driver_total_ns_delta,qat_driver_avg_response_wait_ns,qat_driver_avg_total_ns,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,zfs_qat_dc_poll,zfs_qat_dc_effective_poll,zfs_qat_dc_poll_interval_us,zfs_qat_dc_effective_poll_interval_us,zfs_qat_dc_poll_quota,zfs_qat_dc_effective_poll_quota,dc_poll_calls_delta,dc_poll_success_delta,dc_poll_retries_delta,dc_poll_fails_delta,dc_poll_ns_delta,zfs_qat_dc_watchdog,zfs_qat_dc_effective_watchdog,zfs_qat_dc_watchdog_timeout_ms,zfs_qat_dc_effective_watchdog_timeout_ms,zfs_qat_dc_watchdog_interval_ms,zfs_qat_dc_effective_watchdog_interval_ms,dc_watchdog_checks_delta,dc_watchdog_stalls_delta,dc_watchdog_runtime_disables_delta,dc_watchdog_last_progress_ns,dc_watchdog_last_stall_ns,dc_watchdog_health,dc_watchdog_request_timeouts_delta,dc_watchdog_request_recoveries_delta,dc_watchdog_request_unrecoverable_delta,dc_watchdog_late_completions_delta,zfs_qat_dc_quarantine_dst,zfs_qat_dc_effective_quarantine_dst,dc_compress_quarantine_dst_requests_delta,dc_compress_quarantine_dst_success_delta,dc_compress_quarantine_dst_fails_delta,dc_compress_quarantine_dst_copy_bytes_delta,dc_compress_quarantine_dst_retained_delta,dc_compress_quarantine_dst_retained_bytes_delta,dc_compress_quarantine_dst_retained_released_delta
raw,qat,sw,128K,1,1,Image.tif_,191346108,799.511,,,,,,228.24,0.16,2.57,1.15,96.13,16.88x,13.0M,183M,1460,191365120,6953469,0,0,0,0,1275,185,1460,0,435530,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26599396,0,40515114,11500465,12613118441,3038430,0,0,0,0,0,533,0,0,1460,0,1460,1460,0,0,0,0,0,0,0,0,534,0,1460,1460,0,0,0,1460,1460,0,5904996,921355,12612929675,958225,5073885,12626203022,8638992,8648084,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,2.73,7.838759,7.379344,100.01,100.00,0.00,0.00,69414644,69112978,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,4,0,0,44880164079,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,128K,2,1,Image.tif_,191346108,720.446,,,,,,253.29,0.02,2.37,0.77,96.84,16.88x,13.0M,183M,1460,191365120,6953470,0,0,0,0,1016,444,1460,0,445810,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9167041,0,23531219,11216392,18219015361,3441163,0,0,0,0,0,720,0,0,1460,0,1460,1460,0,0,0,0,0,0,0,0,720,0,1460,1460,0,0,0,1460,1460,0,5647917,859661,18219020511,869950,4936949,18231772683,12478781,12487515,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,2.39,6.183859,6.132111,100.01,100.00,0.00,0.00,100039475,99830221,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,4,0,0,46665530680,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,128K,3,1,Image.tif_,191346108,816.051,,,,,,223.62,0.04,1.94,1.26,96.76,16.88x,13.0M,183M,1432,187695104,6856607,0,0,0,0,959,473,1432,0,452040,211235752,164233216,47005400,117227816,0,0,45824,40096,12888,52984,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5092864,0,19464777,11147881,19359653029,3607741,0,0,0,0,0,768,0,0,1460,0,1432,1432,28,0,0,0,0,0,0,0,768,28,1432,1432,0,0,0,1432,1432,0,5545433,903480,19359653136,912989,5023029,19372454532,13519310,13528250,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,1.98,5.802868,5.685638,98.09,98.08,1.92,1.92,108345662,108154486,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,5,0,0,48449677051,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
summary,qat,sw,128K,,1,Image.tif_,191346108,,778.669,799.511,816.051,816.051,816.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,,,,,,,,,,,profile,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,,,,,profile,0,,,,,,,
raw,qat,sw,1M,1,1,Image.tif_,191346108,588.870,,,,,,309.88,0.03,1.79,1.39,96.79,25.17x,7.75M,183M,173,181403648,6715238,0,0,0,0,173,0,173,0,61810,204088619,158728192,45360773,113367419,0,0,44288,38752,11245,49997,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41359708,0,48596700,6325753,2266874613,413310,0,0,0,0,0,768,0,0,183,0,173,173,10,0,0,0,0,0,0,0,768,10,173,173,0,0,0,173,173,0,4254591,137916,2266850015,123422,638707,2272060591,13103179,13133298,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,1.82,3.849028,3.785582,94.80,94.54,5.46,5.46,13423181,13103321,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,4,0,0,50389872146,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,1M,2,1,Image.tif_,191346108,616.164,,,,,,296.16,0.05,1.81,1.28,96.86,25.15x,7.75M,183M,169,177209344,6442642,0,0,0,0,169,0,169,0,65200,199369807,155058176,44311969,110746207,0,0,43264,37856,10985,48841,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32591037,0,39476250,6097171,2593760968,393680,0,0,0,0,0,768,0,0,183,0,169,169,14,0,0,0,0,0,0,0,768,14,169,169,0,0,0,169,169,0,4082975,125193,2593731514,120182,626167,2598740281,15347523,15377161,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,1.86,4.115944,4.005301,92.61,92.35,7.65,7.65,15619693,15347698,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,4,0,0,52028098347,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,1M,3,1,Image.tif_,191346108,533.127,,,,,,342.29,0.06,2.35,0.55,97.04,25.14x,7.76M,183M,144,150994944,5830320,0,0,0,0,144,0,144,0,56460,169877232,132120576,37756944,94363632,0,0,36864,32256,9360,41616,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28747326,0,34818472,5389024,2226566940,360180,0,0,0,0,0,768,0,0,183,0,144,144,39,0,0,0,0,0,0,0,768,39,144,144,0,0,0,144,144,0,3586183,114290,2226553112,94360,537208,2230933013,15462174,15492590,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,2.41,4.614322,4.499443,78.91,78.69,21.31,21.31,15743990,15462270,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,4,0,0,53726453017,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
summary,qat,sw,1M,,1,Image.tif_,191346108,,579.387,588.870,616.164,616.164,616.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,,,,,,,,,,,profile,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,,,,,profile,0,,,,,,,
raw,sw,sw,128K,1,1,Image.tif_,191346108,693.708,,,,,,263.05,0.02,4.14,0.54,95.30,16.86x,13.1M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,4.16,10.364068,10.314241,0.00,na,na,na,na,na,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,4,0,0,53726453017,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,sw,sw,128K,2,1,Image.tif_,191346108,903.371,,,,,,202.00,0.02,3.39,1.41,95.18,16.86x,13.1M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,1,1,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,3.41,11.063199,10.998312,0.00,na,na,na,na,na,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,5,0,0,53726453017,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
