row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,qat_driver_submits_delta,qat_driver_comp_submits_delta,qat_driver_decomp_submits_delta,qat_driver_tx_retries_delta,qat_driver_tx_errors_delta,qat_driver_callbacks_delta,qat_driver_comp_callbacks_delta,qat_driver_decomp_callbacks_delta,qat_driver_create_ns_delta,qat_driver_trans_put_ns_delta,qat_driver_response_wait_ns_delta,qat_driver_callback_process_ns_delta,qat_driver_user_callback_ns_delta,qat_driver_total_ns_delta,qat_driver_avg_response_wait_ns,qat_driver_avg_total_ns,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,zfs_qat_dc_poll,zfs_qat_dc_effective_poll,zfs_qat_dc_poll_interval_us,zfs_qat_dc_effective_poll_interval_us,zfs_qat_dc_poll_quota,zfs_qat_dc_effective_poll_quota,dc_poll_calls_delta,dc_poll_success_delta,dc_poll_retries_delta,dc_poll_fails_delta,dc_poll_ns_delta,zfs_qat_dc_watchdog,zfs_qat_dc_effective_watchdog,zfs_qat_dc_watchdog_timeout_ms,zfs_qat_dc_effective_watchdog_timeout_ms,zfs_qat_dc_watchdog_interval_ms,zfs_qat_dc_effective_watchdog_interval_ms,dc_watchdog_checks_delta,dc_watchdog_stalls_delta,dc_watchdog_runtime_disables_delta,dc_watchdog_last_progress_ns,dc_watchdog_last_stall_ns,dc_watchdog_health,dc_watchdog_request_timeouts_delta,dc_watchdog_request_recoveries_delta,dc_watchdog_request_unrecoverable_delta,dc_watchdog_late_completions_delta,zfs_qat_dc_quarantine_dst,zfs_qat_dc_effective_quarantine_dst,dc_compress_quarantine_dst_requests_delta,dc_compress_quarantine_dst_success_delta,dc_compress_quarantine_dst_fails_delta,dc_compress_quarantine_dst_copy_bytes_delta,dc_compress_quarantine_dst_retained_delta,dc_compress_quarantine_dst_retained_bytes_delta,dc_compress_quarantine_dst_retained_released_delta
raw,qat,sw,64K,1,1,Image.tif_,191346108,946.894,,,,,,192.72,0.08,2.05,1.58,96.29,11.57x,20.3M,183M,2920,191365120,6957959,0,0,0,0,2920,0,2920,0,666160,215446360,167444480,48007720,119436760,0,0,46720,40880,14600,55480,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618170,488870,11877580,17159500,1143333290,1152560,0,0,0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,2920,2920,0,0,0,2920,2920,0,7857419,1950068,1125575592,1969465,4851739,1143086487,385471,391467,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,2.13,7.243378,6.971327,100.01,na,na,na,6430263,6264840,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,104892124783,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,64K,2,1,Image.tif_,191346108,831.885,,,,,,219.36,0.02,2.06,0.75,97.18,11.57x,20.3M,183M,2920,191365120,6957962,0,0,0,0,2920,0,2920,0,659430,215446360,167444480,48007720,119436760,0,0,46720,40880,14600,55480,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593230,467900,12099200,17893060,1192292090,1060980,0,0,0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,2920,2920,0,0,0,2920,2920,0,8395789,1999947,1173604501,2157823,4640036,1191695665,401919,408114,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,2.08,6.214223,6.154471,100.01,na,na,na,6703262,6533107,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,5,0,0,106877101373,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,64K,3,1,Image.tif_,191346108,864.760,,,,,,211.02,0.04,2.10,1.04,96.82,11.57x,20.3M,183M,2920,191365120,6957962,0,0,0,0,2920,0,2920,0,679990,215446360,167444480,48007720,119436760,0,0,46720,40880,14600,55480,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605650,459350,12022070,17959460,1177868910,1083130,0,0,0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,2920,2920,0,0,0,2920,2920,0,8267174,2057724,1159169337,2107223,4682086,1177205011,396975,403152,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,2.14,6.646141,6.521914,100.01,na,na,na,6624294,6454076,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,5,0,0,108785643543,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
summary,qat,sw,64K,,1,Image.tif_,191346108,,881.180,864.760,946.894,946.894,946.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,,,,,,,,,,,profile,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,,,,,profile,0,,,,,,,
raw,qat,sw,128K,1,1,Image.tif_,191346108,837.370,,,,,,217.92,0.04,1.63,1.56,96.77,16.88x,13.0M,183M,1460,191365120,6953470,0,0,0,0,1460,0,1460,0,361000,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333070,269350,9065620,11822920,1091007990,582530,0,0,0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,1460,1460,0,0,0,1460,1460,0,6237893,955912,1078834037,1041979,2157802,1089696509,738927,746367,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,1.67,5.022201,4.901909,100.01,na,na,na,6095776,5978126,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,5,0,0,110774279243,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,128K,2,1,Image.tif_,191346108,837.889,,,,,,217.79,0.02,1.61,1.43,96.94,16.88x,13.0M,183M,1460,191365120,6953477,0,0,0,0,1460,0,1460,0,383660,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344820,276200,9010080,11690910,1081514990,566570,0,0,0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,1460,1460,0,0,0,1460,1460,0,6091021,943363,1069427393,1073701,2273873,1080280882,732484,739918,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,1.63,4.904947,4.844763,100.01,na,na,na,6042644,5926110,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,5,0,0,112669511773,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,128K,3,1,Image.tif_,191346108,814.354,,,,,,224.08,0.08,1.85,1.74,96.34,16.88x,13.0M,183M,1460,191365120,6953469,0,0,0,0,1460,0,1460,0,354770,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334200,266550,9099740,11653970,1080312050,556920,0,0,0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,1460,1460,0,0,0,1460,1460,0,6092761,947022,1068266283,1060115,2253136,1079106140,731689,739113,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,1.93,5.644569,5.410597,100.01,na,na,na,6036289,5919518,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,5,0,0,114631672173,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
summary,qat,sw,128K,,1,Image.tif_,191346108,,829.871,837.370,837.889,837.889,837.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,,,,,,,,,,,profile,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,,,,,profile,0,,,,,,,
raw,qat,sw,256K,1,1,Image.tif_,191346108,693.831,,,,,,263.01,0.02,1.59,1.43,96.96,21.63x,9.52M,183M,730,191365120,7005036,0,0,0,0,730,0,730,0,226220,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207300,176470,8012480,8834480,1095042510,573130,0,0,0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,730,730,0,0,0,730,730,0,5141656,471399,1085985155,558238,1173726,1093577455,1487650,1498051,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,1.61,4.011805,3.961969,100.01,na,na,na,6095685,6000233,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,4,0,0,116547497243,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,256K,2,1,Image.tif_,191346108,610.493,,,,,,298.91,0.03,1.73,0.53,97.72,21.63x,9.52M,183M,730,191365120,7005037,0,0,0,0,730,0,730,0,236840,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209940,180930,7901190,8868790,1116559530,581840,0,0,0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,730,730,0,0,0,730,730,0,5202714,471817,1107481882,535320,1216981,1115161279,1517098,1527618,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,0,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,8E806B0F2ECAB0E00043522,2,2,0,12,12,64,1.76,3.858812,3.793036,100.01,na,na,na,6213213,6118134,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,4,0,0,118316455213,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
