delivery,jobs,recordsize,variant,runs,avg_ms,latency_p95_ms,write_bw_mib_s,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,compressratio,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,dc_compress_async_submits_delta,dc_compress_async_completions_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cap_skips_delta,dc_compress_async_submit_fails_delta,dc_watchdog_request_timeouts_delta,dc_watchdog_runtime_disables_delta,dc_compress_quarantine_dst_retained_delta,dc_poll_fails_delta
interrupt,1,64K,async_qat,3,933.961,,196.98,3.707,12.371,12.26,11.55,0.0,0.0,100.0,100.0,,,8760,0,8760,8760,0,0,0,0,0
interrupt,1,64K,software,3,874.273,,208.767,3.947,12.386,12.302,11.55,0.0,,,,,,0,0,0,0,0,0,0,0,0
interrupt,1,64K,sync_qat,3,881.18,,207.7,2.117,6.701,6.549,11.57,100.01,,,,6585939.667,6417341.0,0,0,0,0,0,0,0,0,0
interrupt,1,128K,async_qat,3,748.196,,244.707,2.2,5.9,5.812,16.88,100.01,100.0,0.0,0.0,91365368.667,91139577.0,4380,4380,0,0,0,0,0,0,0
interrupt,1,128K,software,3,760.327,,242.563,4.1,11.042,10.991,16.86,0.0,,,,,,0,0,0,0,0,0,0,0,0
interrupt,1,128K,sync_qat,3,829.871,,219.93,1.743,5.191,5.052,16.88,100.01,,,,6058236.333,5941251.333,0,0,0,0,0,0,0,0,0
interrupt,1,256K,async_qat,3,696.962,,261.997,2.363,5.922,5.813,21.617,78.683,78.677,21.323,21.323,33271774.0,33087394.667,2190,1723,467,467,0,0,0,0,0
interrupt,1,256K,software,3,661.123,,276.723,4.367,10.34,10.293,21.53,0.0,,,,,,0,0,0,0,0,0,0,0,0
interrupt,1,256K,sync_qat,3,654.244,,279.693,1.693,3.971,3.917,21.63,100.01,,,,6166541.667,6071731.333,0,0,0,0,0,0,0,0,0
interrupt,1,512K,async_qat,3,605.167,,301.61,2.467,5.372,5.292,24.503,74.347,74.337,25.663,25.663,17577291.0,17404475.667,1095,814,281,281,0,0,0,0,0
interrupt,1,512K,software,3,598.385,,305.007,4.543,9.766,9.614,24.42,0.0,,,,,,0,0,0,0,0,0,0,0,0
interrupt,1,512K,sync_qat,3,585.471,,312.16,1.74,3.669,3.533,24.49,100.01,,,,6086893.0,6005365.0,0,0,0,0,0,0,0,0,0
interrupt,1,1M,async_qat,3,586.228,,311.663,2.277,4.777,4.629,25.143,83.48,83.24,16.76,16.76,15648907.667,15212047.667,549,457,92,92,0,0,0,0,0
interrupt,1,1M,software,3,584.869,,312.743,4.803,10.081,10.018,25.17,0.0,,,,,,0,0,0,0,0,0,0,0,0
interrupt,1,1M,sync_qat,3,584.841,,312.417,1.693,3.555,3.458,25.15,100.28,,,,6245925.333,6175216.0,0,0,0,0,0,0,0,0,0
interrupt,4,64K,async_qat,3,1262.049,,578.763,12.17,13.78,13.69,11.56,0.0,0.0,100.0,100.0,,,35040,0,35040,35040,0,0,0,0,0
interrupt,4,64K,software,3,1251.193,,583.463,12.103,13.593,13.511,11.56,0.0,,,,,,0,0,0,0,0,0,0,0,0
interrupt,4,64K,sync_qat,3,1233.623,,591.95,6.293,6.966,6.915,11.59,100.01,,,,10802705.0,10635177.667,0,0,0,0,0,0,0,0,0
interrupt,4,128K,async_qat,3,1127.251,,648.277,8.813,8.909,8.836,16.92,69.363,69.357,30.643,30.643,144066110.0,143886127.0,17520,12151,5369,5369,0,0,0,0,0
interrupt,4,128K,software,3,1078.951,,676.59,12.71,12.312,12.248,16.9,0.0,,,,,,0,0,0,0,0,0,0,0,0
interrupt,4,128K,sync_qat,3,1101.126,,665.11,5.157,5.087,5.019,16.92,100.01,,,,10857135.667,10741230.667,0,0,0,0,0,0,0,0,0
interrupt,4,256K,async_qat,3,1021.936,,715.813,8.91,8.158,8.109,21.657,47.197,47.19,52.81,52.81,40765351.0,40618811.667,8760,4134,4626,4626,0,0,0,0,0
interrupt,4,256K,software,3,986.39,,740.123,13.303,11.781,11.719,21.6,0.0,,,,,,0,0,0,0,0,0,0,0,0
interrupt,4,256K,sync_qat,3,1064.281,,688.78,4.41,4.192,4.11,21.7,100.01,,,,9880808.667,9786560.333,0,0,0,0,0,0,0,0,0
interrupt,4,512K,async_qat,3,902.794,,811.683,9.167,7.394,7.333,24.547,49.547,49.547,50.453,50.453,20249231.333,20146885.667,4380,2170,2210,2210,0,0,0,0,0
interrupt,4,512K,software,3,988.574,,738.47,12.897,11.445,11.38,24.51,0.0,,,,,,0,0,0,0,0,0,0,0,0
interrupt,4,512K,sync_qat,3,1087.323,,671.81,3.857,3.763,3.708,24.58,100.01,,,,10644662.333,10564129.667,0,0,0,0,0,0,0,0,0
interrupt,4,1M,async_qat,3,839.001,,871.003,9.367,7.047,6.995,25.263,50.37,50.23,49.77,49.77,19211818.333,19121651.667,2196,1103,1093,1093,0,0,0,0,0
interrupt,4,1M,software,3,935.248,,780.73,13.507,11.338,11.268,25.26,0.0,,,,,,0,0,0,0,0,0,0,0,0
interrupt,4,1M,sync_qat,3,1029.257,,710.697,3.943,3.632,3.568,25.25,100.28,,,,10654341.0,10583477.333,0,0,0,0,0,0,0,0,0
interrupt,8,64K,async_qat,3,1749.059,,835.047,17.507,13.739,13.676,11.57,0.0,0.0,100.0,100.0,,,70080,0,70080,70080,0,0,0,0,0
interrupt,8,64K,software,3,1767.628,,826.947,17.52,13.886,13.809,11.57,0.0,,,,,,0,0,0,0,0,0,0,0,0
interrupt,8,64K,sync_qat,3,1852.487,,789.063,9.82,8.152,8.082,11.59,100.01,,,,9994694.0,9817801.0,0,0,0,0,0,0,0,0,0
interrupt,8,128K,async_qat,3,1531.857,,953.207,11.967,8.227,8.161,16.927,74.223,74.187,25.813,25.813,144196539.0,144021227.333,35054,26006,9048,9048,0,0,0,0,0
interrupt,8,128K,software,3,1569.121,,931.787,17.773,12.506,12.435,16.91,0.0,,,,,,0,0,0,0,0,0,0,0,0
interrupt,8,128K,sync_qat,3,1551.104,,941.947,7.883,5.486,5.421,16.93,100.07,,,,10323969.667,10203185.667,0,0,0,0,0,0,0,0,0
interrupt,8,256K,async_qat,3,1391.148,,1055.693,12.333,7.643,7.597,21.67,59.187,59.12,40.88,40.88,40679919.667,40555345.333,17538,10368,7170,7170,0,0,0,0,0
interrupt,8,256K,software,3,1345.919,,1085.027,20.1,12.142,12.073,21.61,0.0,,,,,,0,0,0,0,0,0,0,0,0
interrupt,8,256K,sync_qat,3,1460.153,,1002.487,6.82,4.458,4.391,21.71,100.13,,,,10461769.333,10363716.333,0,0,0,0,0,0,0,0,0
