row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,qat_driver_submits_delta,qat_driver_comp_submits_delta,qat_driver_decomp_submits_delta,qat_driver_tx_retries_delta,qat_driver_tx_errors_delta,qat_driver_callbacks_delta,qat_driver_comp_callbacks_delta,qat_driver_decomp_callbacks_delta,qat_driver_create_ns_delta,qat_driver_trans_put_ns_delta,qat_driver_response_wait_ns_delta,qat_driver_callback_process_ns_delta,qat_driver_user_callback_ns_delta,qat_driver_total_ns_delta,qat_driver_avg_response_wait_ns,qat_driver_avg_total_ns,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,zfs_qat_dc_poll,zfs_qat_dc_effective_poll,zfs_qat_dc_poll_interval_us,zfs_qat_dc_effective_poll_interval_us,zfs_qat_dc_poll_quota,zfs_qat_dc_effective_poll_quota,dc_poll_calls_delta,dc_poll_success_delta,dc_poll_retries_delta,dc_poll_fails_delta,dc_poll_ns_delta,zfs_qat_dc_watchdog,zfs_qat_dc_effective_watchdog,zfs_qat_dc_watchdog_timeout_ms,zfs_qat_dc_effective_watchdog_timeout_ms,zfs_qat_dc_watchdog_interval_ms,zfs_qat_dc_effective_watchdog_interval_ms,dc_watchdog_checks_delta,dc_watchdog_stalls_delta,dc_watchdog_runtime_disables_delta,dc_watchdog_last_progress_ns,dc_watchdog_last_stall_ns,dc_watchdog_health,zfs_qat_dc_quarantine_dst,zfs_qat_dc_effective_quarantine_dst,dc_compress_quarantine_dst_requests_delta,dc_compress_quarantine_dst_success_delta,dc_compress_quarantine_dst_fails_delta,dc_compress_quarantine_dst_copy_bytes_delta
raw,qat,sw,128K,1,4,Image.tif_,765384432,1216.598,,,,,,599.97,0.05,8.59,4.66,86.70,16.92x,51.9M,730M,4599,602800128,22686878,0,0,0,0,3000,1599,4599,0,1070940,678403089,527450112,150962175,376487937,0,0,147168,128772,41391,170163,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39740826,0,90676393,37944111,76385109823,7665032,0,0,0,0,0,768,0,0,5840,0,4599,4599,1241,0,0,0,0,0,0,0,768,1241,4599,4599,0,0,0,4599,4599,0,19762785,3441455,76385410949,3480150,18507043,76431887890,16609134,16619240,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,8.64,9.437589,9.382973,78.76,78.75,21.25,21.25,133109624,132872555,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,33756182148,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,2,4,Image.tif_,765384432,1125.860,,,,,,648.33,0.06,8.78,3.35,87.81,16.91x,51.9M,730M,3741,490340352,18953446,0,0,0,0,2248,1493,3741,0,873830,551838651,429047808,122798325,306249483,0,0,119712,104748,33669,138417,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5182634,0,46921011,31714554,67978033179,6107521,0,0,0,0,0,768,0,0,5840,0,3741,3741,2099,0,0,0,0,0,0,0,768,2099,3741,3741,0,0,0,3741,3741,0,16119746,2993761,67978698294,2691661,15613000,68017163025,18171263,18181545,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,8.84,8.935871,8.875220,64.06,64.06,35.94,35.94,145549909,145368689,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,35869490456,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,3,4,Image.tif_,765384432,1112.881,,,,,,655.89,0.04,8.93,3.44,87.58,16.91x,51.9M,730M,4006,525074432,19957379,0,0,0,0,2394,1612,4006,0,929241,590929066,459440128,131496950,327943178,0,0,128192,112168,36054,148222,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5493093,0,50264663,33241989,71902837344,6756033,0,0,0,0,0,768,0,0,5840,0,4006,4006,1834,0,0,0,0,0,0,0,768,1834,4006,4006,0,0,0,4006,4006,0,17194643,2998475,71903559948,2813652,16805579,71944469189,17948966,17959178,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,8.97,8.962752,8.922785,68.60,68.60,31.40,31.40,143770544,143590289,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,37994315359,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,4,4,Image.tif_,765384432,1063.019,,,,,,686.66,0.06,9.48,3.35,87.11,16.92x,51.9M,730M,4032,528482304,20256431,0,0,0,0,2476,1556,4032,0,923300,594764352,462422016,132350400,330071616,0,0,129024,112896,36288,149184,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3133191,0,47730436,33579991,71394990342,6464740,0,0,0,0,0,768,0,0,5840,0,4032,4032,1808,0,0,0,0,0,0,0,768,1808,4032,4032,0,0,0,4032,4032,0,17187004,3168758,71395733969,2798099,18009612,71438016076,17707275,17717761,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,9.54,9.105203,9.047937,69.05,69.04,30.96,30.96,141830884,141656727,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,40110667888,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,5,4,Image.tif_,765384432,1213.174,,,,,,601.67,0.05,8.20,3.83,87.92,16.91x,51.9M,730M,4117,539623424,20516381,0,0,0,0,2539,1578,4117,0,954540,607302787,472170496,135140525,337029971,0,0,131744,115276,37053,152329,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3256663,0,48575417,34389203,73591897446,7007673,0,0,0,0,0,768,0,0,5840,0,4117,4117,1723,0,0,0,0,0,0,0,768,1723,4117,4117,0,0,0,4117,4117,0,17799659,3153630,73591060135,3006706,17577699,73633758302,17874923,17885294,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,8.25,8.986224,8.931762,70.50,70.50,29.50,29.50,143175846,143001015,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,42205521037,0,1,profile,0,0,0,0,0
summary,qat,sw,128K,,4,Image.tif_,765384432,,1146.306,1125.860,1216.598,1216.598,1216.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,,,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,,,,,,,,,,,0,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,profile,0,,,,
raw,qat,sw,1M,1,4,Image.tif_,765384432,975.714,,,,,,748.10,0.08,6.46,2.96,90.50,25.25x,30.8M,732M,570,597688320,23434025,0,0,0,0,570,0,570,0,178660,672430710,522977280,149454570,373522710,0,0,145920,127680,37050,164730,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211093092,0,237052025,21748379,17892962824,2010871,0,0,0,0,0,768,0,0,732,0,570,570,162,0,0,0,0,0,0,0,768,162,570,570,0,0,0,570,570,0,14498299,468171,17892962239,430168,2247785,17910784135,31391161,31422428,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,6.54,5.729286,5.659203,78.09,77.87,22.13,22.13,31848726,31391163,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,5,0,0,44472411038,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,2,4,Image.tif_,765384432,838.601,,,,,,870.41,0.07,7.21,2.43,90.28,25.25x,30.8M,732M,548,574619648,22072915,0,0,0,0,548,0,548,0,191520,646477244,502792192,143686148,359106044,0,0,140288,122752,35620,158372,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3757255,0,28875184,20869136,17590323208,1925083,0,0,0,0,0,768,0,0,732,0,548,548,184,0,0,0,0,0,0,0,768,184,548,548,0,0,0,548,548,0,13921401,442742,17590317497,400323,2264476,17607513171,32099119,32130498,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,7.28,5.481343,5.428638,75.08,74.86,25.14,25.14,32193417,32099130,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,5,0,0,46401158668,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,3,4,Image.tif_,765384432,857.475,,,,,,851.25,0.07,7.07,2.45,90.40,25.24x,30.8M,732M,552,578813952,22213791,0,0,0,0,552,0,552,0,172550,651196056,506462208,144734952,361727256,0,0,141312,123648,35880,159528,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370480,0,25507212,21036246,17629823911,1967380,0,0,0,0,0,768,0,0,732,0,552,552,180,0,0,0,0,0,0,0,768,180,552,552,0,0,0,552,552,0,14026096,437404,17629843381,407916,2221223,17647102413,31938122,31969388,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,7.14,5.496926,5.443035,75.62,75.41,24.59,24.59,32025969,31938087,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,5,0,0,48259013974,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,4,4,Image.tif_,765384432,882.174,,,,,,827.42,0.07,6.85,2.41,90.66,25.24x,30.8M,732M,556,583008256,22319956,0,0,0,0,556,0,556,0,178110,655914868,510132224,145783756,364348468,0,0,142336,124544,36140,160684,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3767121,0,29865577,21375544,18294357828,1973670,0,0,0,0,0,768,0,0,732,0,556,556,176,0,0,0,0,0,0,0,768,176,556,556,0,0,0,556,556,0,14252691,464677,18294364516,418766,2223236,18311898676,32903533,32935069,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,6.92,5.481010,5.425566,76.17,75.96,24.04,24.04,32999231,32903521,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,5,0,0,50129545866,0,1,profile,0,0,0,0,0
