row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,qat_driver_submits_delta,qat_driver_comp_submits_delta,qat_driver_decomp_submits_delta,qat_driver_tx_retries_delta,qat_driver_tx_errors_delta,qat_driver_callbacks_delta,qat_driver_comp_callbacks_delta,qat_driver_decomp_callbacks_delta,qat_driver_create_ns_delta,qat_driver_trans_put_ns_delta,qat_driver_response_wait_ns_delta,qat_driver_callback_process_ns_delta,qat_driver_user_callback_ns_delta,qat_driver_total_ns_delta,qat_driver_avg_response_wait_ns,qat_driver_avg_total_ns,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,zfs_qat_dc_poll,zfs_qat_dc_effective_poll,zfs_qat_dc_poll_interval_us,zfs_qat_dc_effective_poll_interval_us,zfs_qat_dc_poll_quota,zfs_qat_dc_effective_poll_quota,dc_poll_calls_delta,dc_poll_success_delta,dc_poll_retries_delta,dc_poll_fails_delta,dc_poll_ns_delta,zfs_qat_dc_watchdog,zfs_qat_dc_effective_watchdog,zfs_qat_dc_watchdog_timeout_ms,zfs_qat_dc_effective_watchdog_timeout_ms,zfs_qat_dc_watchdog_interval_ms,zfs_qat_dc_effective_watchdog_interval_ms,dc_watchdog_checks_delta,dc_watchdog_stalls_delta,dc_watchdog_runtime_disables_delta,dc_watchdog_last_progress_ns,dc_watchdog_last_stall_ns,dc_watchdog_health,zfs_qat_dc_quarantine_dst,zfs_qat_dc_effective_quarantine_dst,dc_compress_quarantine_dst_requests_delta,dc_compress_quarantine_dst_success_delta,dc_compress_quarantine_dst_fails_delta,dc_compress_quarantine_dst_copy_bytes_delta
raw,qat,sw,128K,1,8,Image.tif_,1530768864,1620.033,,,,,,901.13,0.10,15.01,3.11,81.78,16.92x,104M,1.43G,8555,1121320960,41705485,0,0,0,0,8554,1,8555,0,1937810,1261956605,981155840,280817875,700337965,0,0,273760,239540,76995,316535,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989520,600,79497100,77059860,17390297650,3129940,0,0,0,0,0,768,0,0,11686,0,8555,8555,3131,0,0,0,0,0,0,0,768,3131,8555,8555,0,0,0,8555,8555,0,36701813,7125201,17387838747,7399530,42121340,17483987156,2032476,2043715,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,96,96,fixed,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,15.11,10.989010,10.916283,73.25,73.21,26.79,26.79,16411441,16262114,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,219160792734,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,2,8,Image.tif_,1530768864,1647.058,,,,,,886.34,0.10,14.56,3.51,81.84,16.92x,104M,1.43G,8493,1113194496,41739069,0,0,0,0,8493,0,8493,0,1982930,1252810923,974045184,278782725,695262459,0,0,271776,237804,76437,314241,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986320,0,77810490,74314420,18348005870,2763080,0,0,0,0,0,768,0,0,11684,0,8493,8493,3191,0,0,0,0,0,0,0,768,3191,8493,8493,0,0,0,8493,8493,0,36312421,6397337,18344967725,7456846,35461678,18433328792,2160010,2170414,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,96,96,fixed,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,14.66,10.839596,10.765656,72.72,72.69,27.31,27.31,17428842,17282944,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,221808738114,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,3,8,Image.tif_,1530768864,1670.076,,,,,,874.12,0.15,13.21,3.65,82.99,16.93x,104M,1.43G,8371,1097203712,41345290,0,0,0,0,8371,0,8371,0,1916680,1234814581,960053248,274778075,685275173,0,0,267872,234388,75339,309727,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007380,0,77045240,74136740,18617910950,2873000,0,0,0,0,0,768,0,0,11687,0,8371,8371,3316,0,0,0,0,0,0,0,768,3316,8371,8371,0,0,0,8371,8371,0,35615262,6240176,18614906164,7565276,41461206,18708696030,2223737,2234941,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,96,96,fixed,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,13.36,10.016429,9.903969,71.68,71.63,28.37,28.37,17939998,17792771,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,224424704374,0,1,profile,0,0,0,0,0
summary,qat,sw,128K,,8,Image.tif_,1530768864,,1645.722,1647.058,1670.076,1670.076,1670.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,96,96,fixed,throughput,1048576,balanced,,,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,,,,,,,,,,,0,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,profile,0,,,,
raw,qat,sw,512K,1,8,Image.tif_,1530768864,1177.752,,,,,,1239.53,0.11,17.36,1.98,80.55,24.57x,64.3M,1.43G,1342,703594496,27024165,0,0,0,0,1342,0,1342,0,575520,791617618,615645184,175975118,439670066,0,0,171776,150304,44286,194590,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306910,0,41947840,36628500,15243392340,3800530,0,0,0,0,0,768,0,0,2927,0,1342,1342,1585,0,0,0,0,0,0,0,768,1585,1342,1342,0,0,0,1342,1342,0,19875970,1893718,15243679223,1560653,9627246,15277404994,11358926,11384057,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,96,96,fixed,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,17.47,9.236703,9.178544,45.96,45.85,54.15,54.15,22840193,22717425,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,226905253674,0,1,profile,0,0,0,0,0
raw,qat,sw,512K,2,8,Image.tif_,1530768864,1365.322,,,,,,1069.24,0.10,13.14,2.15,84.61,24.57x,64.3M,1.43G,1817,952631296,36832792,0,0,0,0,1817,0,1817,0,606410,1071810143,833552384,238261393,595290991,0,0,232576,203504,59961,263465,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318370,0,47889170,43173830,18668096770,5442210,0,0,0,0,0,768,0,0,2928,0,1817,1817,1111,0,0,0,0,0,0,0,768,1111,1817,1817,0,0,0,1817,1817,0,24111562,1640678,18668052199,2305458,9767908,18706898964,10274106,10295486,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,96,96,fixed,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,13.24,8.115089,8.053797,62.23,62.06,37.94,37.94,20654488,20548263,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,229217248974,0,1,profile,0,0,0,0,0
raw,qat,sw,512K,3,8,Image.tif_,1530768864,1471.648,,,,,,991.99,0.11,15.74,2.69,81.47,24.56x,64.3M,1.43G,1304,683671552,26050041,0,0,0,0,1304,0,1304,0,654750,769202216,598212608,170992216,427220392,0,0,166912,146048,43032,189080,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337820,0,41347360,37278090,18806747330,5555230,0,0,0,0,0,768,0,0,2928,0,1304,1304,1624,0,0,0,0,0,0,0,768,1624,1304,1304,0,0,0,1304,1304,0,19311655,2125284,18806896817,1846808,10738671,18841859909,14422466,14449279,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,96,96,fixed,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,15.85,10.471368,10.398696,44.66,44.54,55.46,55.46,28973816,28844704,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,231603116434,0,1,profile,0,0,0,0,0
summary,qat,sw,512K,,8,Image.tif_,1530768864,,1338.241,1365.322,1471.648,1471.648,1471.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,96,96,fixed,throughput,1048576,balanced,,,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,,,,,,,,,,,0,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,profile,0,,,,
raw,qat,sw,1M,1,8,Image.tif_,1530768864,1227.077,,,,,,1189.70,0.15,14.02,1.83,84.00,25.28x,61.4M,1.43G,787,825229312,32717417,0,0,0,0,787,0,787,0,287960,928426261,722075648,206352187,515723461,0,0,201472,176288,51155,227443,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170800,0,39085740,32470750,15258359210,2517840,0,0,0,0,0,768,0,0,1471,0,787,787,684,0,0,0,0,0,0,0,768,684,787,787,0,0,0,787,787,0,21207812,928092,15258299748,697942,3573068,15285005826,19387928,19421862,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,96,96,fixed,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,14.17,7.805701,7.723071,53.91,53.50,46.50,46.50,19482126,19388004,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,234002144904,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,2,8,Image.tif_,1530768864,1226.234,,,,,,1190.52,0.10,13.50,2.78,83.61,25.28x,61.4M,1.43G,789,827326464,31181124,0,0,0,0,789,0,789,0,276460,930785667,723910656,206876589,517034067,0,0,201984,176736,51285,228021,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179050,0,38281180,31714900,14995125580,2541780,0,0,0,0,0,768,0,0,1472,0,789,789,683,0,0,0,0,0,0,0,768,683,789,789,0,0,0,789,789,0,20818401,863773,14994922799,737013,4004779,15021614890,19004971,19038802,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,96,96,fixed,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,13.60,7.486563,7.431515,54.05,53.60,46.40,46.40,19097165,19005229,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,236220437264,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,3,8,Image.tif_,1530768864,1269.205,,,,,,1150.21,0.07,12.40,2.51,85.02,25.28x,61.4M,1.43G,895,938475520,34753188,0,0,0,0,895,0,895,0,307440,1055834185,821166080,234669895,586496185,0,0,229120,200480,58175,258655,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180000,0,42363010,36222340,17032888650,2764940,0,0,0,0,0,768,0,0,1472,0,895,895,577,0,0,0,0,0,0,0,768,577,895,895,0,0,0,895,895,0,23406604,1150715,17032823888,865917,4156730,17062742130,19031088,19064516,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,96,96,fixed,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,12.47,7.105071,7.065187,61.31,60.80,39.20,39.20,19122055,19031161,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,238494092934,0,1,profile,0,0,0,0,0
