row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,qat_driver_submits_delta,qat_driver_comp_submits_delta,qat_driver_decomp_submits_delta,qat_driver_tx_retries_delta,qat_driver_tx_errors_delta,qat_driver_callbacks_delta,qat_driver_comp_callbacks_delta,qat_driver_decomp_callbacks_delta,qat_driver_create_ns_delta,qat_driver_trans_put_ns_delta,qat_driver_response_wait_ns_delta,qat_driver_callback_process_ns_delta,qat_driver_user_callback_ns_delta,qat_driver_total_ns_delta,qat_driver_avg_response_wait_ns,qat_driver_avg_total_ns,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,zfs_qat_dc_poll,zfs_qat_dc_effective_poll,zfs_qat_dc_poll_interval_us,zfs_qat_dc_effective_poll_interval_us,zfs_qat_dc_poll_quota,zfs_qat_dc_effective_poll_quota,dc_poll_calls_delta,dc_poll_success_delta,dc_poll_retries_delta,dc_poll_fails_delta,dc_poll_ns_delta,zfs_qat_dc_watchdog,zfs_qat_dc_effective_watchdog,zfs_qat_dc_watchdog_timeout_ms,zfs_qat_dc_effective_watchdog_timeout_ms,zfs_qat_dc_watchdog_interval_ms,zfs_qat_dc_effective_watchdog_interval_ms,dc_watchdog_checks_delta,dc_watchdog_stalls_delta,dc_watchdog_runtime_disables_delta,dc_watchdog_last_progress_ns,dc_watchdog_last_stall_ns,dc_watchdog_health,zfs_qat_dc_quarantine_dst,zfs_qat_dc_effective_quarantine_dst,dc_compress_quarantine_dst_requests_delta,dc_compress_quarantine_dst_success_delta,dc_compress_quarantine_dst_fails_delta,dc_compress_quarantine_dst_copy_bytes_delta
raw,qat,sw,128K,1,8,Image.tif_,1530768864,1493.989,,,,,,977.15,0.10,12.43,5.33,82.14,16.92x,104M,1.43G,8108,1062731776,40296723,0,0,0,0,4723,3385,8108,0,1832880,1196019188,929890304,266145100,663745204,0,0,259456,227024,72972,299996,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2452630,1631230,89200940,66358800,148190215390,11261330,0,0,0,0,0,768,0,0,11685,0,8108,8108,3577,0,0,0,0,0,0,0,768,3577,8108,8108,0,0,0,8108,8108,0,33339195,6307636,148189465545,5620221,33946351,148270858614,18276944,18286983,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,12.53,8.403664,8.336596,69.42,69.39,30.61,30.61,146380894,146216295,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,178871096544,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,2,8,Image.tif_,1530768864,1718.314,,,,,,849.59,0.07,11.08,5.39,83.46,16.92x,104M,1.43G,8023,1051590656,38964880,0,0,0,0,4785,3238,8023,0,1838080,1183480753,920141824,263354975,656786849,0,0,256736,224644,72207,296851,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2618090,1781580,88999860,67463900,144285472050,11061010,0,0,0,0,0,768,0,0,11683,0,8023,8023,3660,0,0,0,0,0,0,0,768,3660,8023,8023,0,0,0,8023,8023,0,33841164,6460458,144284531393,5800908,32351595,144365238139,17983862,17993922,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,11.15,8.600974,8.546977,68.70,68.67,31.33,31.33,144038885,143871841,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,181331254994,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,3,8,Image.tif_,1530768864,1480.580,,,,,,986.00,0.17,12.47,4.41,82.95,16.93x,104M,1.43G,8586,1125384192,41779422,0,0,0,0,4990,3596,8586,0,1927710,1266529446,984711168,281835450,702875718,0,0,274752,240408,77274,317682,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2744260,2164570,93938160,71004080,157147269490,12439150,0,0,0,0,0,768,0,0,11687,0,8586,8586,3101,0,0,0,0,0,0,0,768,3101,8586,8586,0,0,0,8586,8586,0,35921996,6707844,157146070265,6346038,34523471,157231919838,18302593,18312592,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,12.64,8.401352,8.288359,73.52,73.47,26.53,26.53,146587143,146421868,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,184032239844,0,1,profile,0,0,0,0,0
summary,qat,sw,128K,,8,Image.tif_,1530768864,,1564.294,1493.989,1718.314,1718.314,1718.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,,,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,,,,,,,,,,,0,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,profile,0,,,,
raw,qat,sw,512K,1,8,Image.tif_,1530768864,1167.208,,,,,,1250.72,0.11,15.11,2.61,82.18,24.57x,64.3M,1.43G,1380,723517440,27456875,0,0,0,0,1380,0,1380,0,434520,814033020,633077760,180958020,452119740,0,0,176640,154560,45540,200100,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263480,0,36948990,32427550,13807531900,3064920,0,0,0,0,0,768,0,0,2928,0,1380,1380,1548,0,0,0,0,0,0,0,768,1548,1380,1380,0,0,0,1380,1380,0,19100661,2643882,13807167761,1150478,7455018,13837955612,10005194,10027504,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,15.22,7.975045,7.917407,47.26,47.13,52.87,52.87,20115903,20010916,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,186427753674,0,1,profile,0,0,0,0,0
raw,qat,sw,512K,2,8,Image.tif_,1530768864,1147.361,,,,,,1272.36,0.14,15.32,1.83,82.72,24.56x,64.4M,1.43G,1449,759693312,28473016,0,0,0,0,1449,0,1449,0,476750,854734671,664731648,190005921,474725727,0,0,185472,162288,47817,210105,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290930,0,39092410,32697080,14578484910,3175700,0,0,0,0,0,768,0,0,2928,0,1449,1449,1479,0,0,0,0,0,0,0,768,1479,1449,1449,0,0,0,1449,1449,0,20026237,1610646,14577911052,1260236,6849042,14608124879,10060670,10081521,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,15.46,7.963056,7.890946,49.63,49.49,50.51,50.51,20225604,20122132,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,188603922514,0,1,profile,0,0,0,0,0
raw,qat,sw,512K,3,8,Image.tif_,1530768864,1248.570,,,,,,1169.22,0.12,13.93,3.14,82.81,24.58x,64.3M,1.43G,1464,767557632,26494713,0,0,0,0,1464,0,1464,0,475410,863582856,671612928,191972856,479640072,0,0,187392,163968,48312,212280,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297050,0,38777870,32512720,14633642030,3269420,0,0,0,0,0,768,0,0,2928,0,1464,1464,1464,0,0,0,0,0,0,0,768,1464,1464,1464,0,0,0,1464,1464,0,19996079,1574117,14633177224,1189372,7386025,14663770384,9995339,10016236,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,14.05,7.875161,7.807900,50.14,50.00,50.00,50.00,20093172,19991314,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,190801287424,0,1,profile,0,0,0,0,0
summary,qat,sw,512K,,8,Image.tif_,1530768864,,1187.713,1167.208,1248.570,1248.570,1248.570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,,,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,,,,,,,,,,,0,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,profile,0,,,,
raw,qat,sw,1M,1,8,Image.tif_,1530768864,1313.223,,,,,,1111.66,0.11,10.16,2.91,86.82,25.27x,61.4M,1.43G,1195,1253048320,46636265,0,0,0,0,1195,0,1195,0,415890,1409745085,1096417280,313330195,783087085,0,0,305920,267680,77675,345355,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254560,760,57504690,47632130,24510026450,3767630,0,0,0,0,0,768,0,0,1472,0,1195,1195,277,0,0,0,0,0,0,0,768,277,1195,1195,0,0,0,1195,1195,0,31218175,1323177,24509933515,1096906,4944567,24548961661,20510404,20543064,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,10.27,6.054512,5.989663,81.86,81.18,18.82,18.82,20601616,20510482,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,193269374824,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,2,8,Image.tif_,1530768864,1254.570,,,,,,1163.63,0.11,11.03,3.21,85.64,25.25x,61.5M,1.43G,1077,1129316352,44297976,0,0,0,0,1077,0,1077,0,377860,1270540131,988151808,282390477,705761331,0,0,275712,241248,70005,311253,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242370,9250,51600280,42917790,34820626510,3656360,0,0,0,0,0,768,0,0,1471,0,1077,1077,394,0,0,0,0,0,0,0,768,394,1077,1077,0,0,0,1077,1077,0,27905187,1371372,34820672543,1025388,4745994,34856110369,32331172,32364076,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,11.14,6.274084,6.212131,73.77,73.22,26.78,26.78,32422285,32331130,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,195548749474,0,1,profile,0,0,0,0,0
