cap,recordsize,jobs,elapsed_ms,qat_byte_share_pct,qat_fallback_share_pct,cpu_active_s_per_gib,qat_service_ns_per_mib,qat_wait_ns_per_mib,async_completions_avg,async_cap_skips_avg,scratch_alloc_ns_per_request
profile,128K,4,1135.329,70.940,29.060,9.533,144760423.333,144556873.333,4142.667,1697.333,3363.025
profile,512K,4,903.447,52.107,47.903,7.243,19926478.333,19818176.667,760.667,699.333,6095.758
profile,1M,4,873.742,73.480,26.733,5.819,32435682.667,32271023.667,536.333,195.667,78692.940
profile,128K,8,1564.294,70.547,29.490,8.469,145668974.000,145503334.667,8239.000,3446.000,316.178
profile,512K,8,1187.713,49.010,51.127,7.938,20144893.000,20041454.000,1431.000,1497.000,198.337
profile,1M,8,1298.770,78.227,22.383,6.247,28763489.667,28671511.000,1142.000,329.333,216.430
96,128K,4,1141.126,46.570,53.437,9.792,22372388.667,22204589.667,2719.333,3120.667,159.837
96,512K,4,926.221,46.353,53.653,7.703,20265418.333,20162099.333,676.667,783.333,196.300
96,1M,4,903.666,57.313,42.847,7.166,20327668.333,20235165.667,418.333,313.667,216.645
96,128K,8,1645.722,72.550,27.490,10.615,17260093.667,17112609.667,8473.000,3212.667,117.362
96,512K,8,1338.241,50.950,49.183,9.274,24156165.667,24036797.333,1487.667,1440.000,215.797
96,1M,8,1240.839,56.423,44.033,7.466,19233782.000,19141464.667,823.667,648.000,214.427
192,128K,4,1141.153,49.043,50.957,9.624,43175332.333,43012400.333,2864.000,2976.000,166.956
192,512K,4,904.322,53.910,46.097,7.206,39081636.333,38978071.000,787.000,673.000,212.690
192,1M,4,865.051,74.617,25.590,5.682,32821268.333,32732003.333,544.667,187.333,228.360
192,128K,8,1570.426,59.400,40.637,8.837,42253925.667,42099766.000,6937.333,4749.000,183.713
192,512K,8,1207.910,61.740,38.413,7.023,38898863.000,38793290.000,1802.667,1124.333,266.461
192,1M,8,1308.187,80.943,19.593,5.706,29570349.000,29477802.000,1181.667,288.000,267.007
384,128K,4,1142.756,51.473,48.533,9.163,82130926.333,81965513.000,3005.667,2834.333,238.005
384,512K,4,930.063,64.230,35.777,6.164,69160289.667,69058626.667,937.667,522.333,828.326
384,1M,4,857.629,99.413,0.867,3.845,49068276.000,48980033.667,725.667,6.333,1549.026
384,128K,8,1555.655,64.463,35.570,8.657,81166216.333,81014356.333,7528.667,4156.667,211.856
384,512K,8,1291.043,70.793,29.373,6.225,70253824.333,70155788.667,2067.000,859.667,231.866
384,1M,8,1413.487,88.917,11.760,4.968,46603092.333,46512526.333,1298.000,173.000,707.232
