row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,qat_driver_submits_delta,qat_driver_comp_submits_delta,qat_driver_decomp_submits_delta,qat_driver_tx_retries_delta,qat_driver_tx_errors_delta,qat_driver_callbacks_delta,qat_driver_comp_callbacks_delta,qat_driver_decomp_callbacks_delta,qat_driver_create_ns_delta,qat_driver_trans_put_ns_delta,qat_driver_response_wait_ns_delta,qat_driver_callback_process_ns_delta,qat_driver_user_callback_ns_delta,qat_driver_total_ns_delta,qat_driver_avg_response_wait_ns,qat_driver_avg_total_ns,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,zfs_qat_dc_poll,zfs_qat_dc_effective_poll,zfs_qat_dc_poll_interval_us,zfs_qat_dc_effective_poll_interval_us,zfs_qat_dc_poll_quota,zfs_qat_dc_effective_poll_quota,dc_poll_calls_delta,dc_poll_success_delta,dc_poll_retries_delta,dc_poll_fails_delta,dc_poll_ns_delta,zfs_qat_dc_watchdog,zfs_qat_dc_effective_watchdog,zfs_qat_dc_watchdog_timeout_ms,zfs_qat_dc_effective_watchdog_timeout_ms,zfs_qat_dc_watchdog_interval_ms,zfs_qat_dc_effective_watchdog_interval_ms,dc_watchdog_checks_delta,dc_watchdog_stalls_delta,dc_watchdog_runtime_disables_delta,dc_watchdog_last_progress_ns,dc_watchdog_last_stall_ns,dc_watchdog_health,zfs_qat_dc_quarantine_dst,zfs_qat_dc_effective_quarantine_dst,dc_compress_quarantine_dst_requests_delta,dc_compress_quarantine_dst_success_delta,dc_compress_quarantine_dst_fails_delta,dc_compress_quarantine_dst_copy_bytes_delta
raw,qat,sw,128K,1,8,Image.tif_,1530768864,1732.676,,,,,,842.54,0.07,10.97,5.64,83.31,16.93x,104M,1.43G,8541,1119485952,42337737,0,0,0,0,5375,3166,8541,0,1963121,1259891451,979550208,280358325,699191883,0,0,273312,239148,76869,316017,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7662705,0,101520112,69647960,147566382788,31762279,0,0,0,0,0,768,0,0,11686,0,8541,8541,3145,0,0,0,0,0,0,0,768,3145,8541,8541,0,0,0,8541,8541,0,35583354,6409355,147565750644,6049733,32663574,147648760304,17277338,17287057,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,11.04,8.587300,8.532852,73.13,73.09,26.91,26.91,138409379,138219302,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,80562526157,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,2,8,Image.tif_,1530768864,1750.175,,,,,,834.12,0.06,10.29,4.72,84.92,16.93x,104M,1.43G,8369,1096941568,41205929,0,0,0,0,5028,3341,8369,0,1885521,1234519559,959823872,274712425,685111447,0,0,267808,234332,75321,309653,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7042484,0,100122560,68546633,149384811547,31642749,0,0,0,0,0,768,0,0,11685,0,8369,8369,3316,0,0,0,0,0,0,0,768,3316,8369,8369,0,0,0,8369,8369,0,34745390,6295328,149384505805,5787072,32883692,149466516116,17849743,17859543,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,10.35,8.131900,8.084759,71.66,71.62,28.38,28.38,142989723,142798243,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,9,0,0,83238606553,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,3,8,Image.tif_,1530768864,1594.705,,,,,,915.44,0.13,11.53,4.90,83.44,16.92x,104M,1.43G,8441,1106378752,41408052,0,0,0,0,5102,3339,8441,0,1933441,1245140351,968081408,277075825,691005583,0,0,270112,236348,75969,312317,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6655665,0,98161793,67941015,149259293695,30976781,0,0,0,0,0,768,0,0,11685,0,8441,8441,3244,0,0,0,0,0,0,0,768,3244,8441,8441,0,0,0,8441,8441,0,34501198,6172920,149258834142,5790279,32168607,149339773305,17682600,17692189,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,11.66,8.347360,8.254293,72.28,72.24,27.76,27.76,141648026,141461243,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,86015434467,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,4,8,Image.tif_,1530768864,1622.273,,,,,,899.88,0.09,11.47,4.17,84.27,16.93x,104M,1.43G,8503,1114505216,41300087,0,0,0,0,5067,3436,8503,0,1893543,1254286033,975192064,279110975,696081089,0,0,272096,238084,76527,314611,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5158672,0,99637293,69302172,153302383352,31051622,0,0,0,0,0,768,0,0,11686,0,8503,8503,3183,0,0,0,0,0,0,0,768,3183,8503,8503,0,0,0,8503,8503,0,35288942,6585504,153301750589,6019861,33424496,153385353296,18029136,18038968,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,11.56,8.418835,8.353290,72.81,72.76,27.24,27.24,144421851,144233690,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,88645218201,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,5,8,Image.tif_,1530768864,1649.008,,,,,,885.29,0.09,10.63,5.04,84.24,16.93x,104M,1.43G,8585,1125253120,41740169,0,0,0,0,5044,3541,8585,0,1943592,1266381935,984596480,281802625,702793855,0,0,274720,240380,77265,317645,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7695724,0,102190478,68901572,156870133574,31350419,0,0,0,0,0,768,0,0,11683,0,8585,8585,3098,0,0,0,0,0,0,0,768,3098,8585,8585,0,0,0,8585,8585,0,35268743,6286516,156869647203,5943787,31365898,156950791551,18272527,18281979,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,10.72,7.935746,7.869122,73.51,73.48,26.52,26.52,146369320,146180672,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,91340515116,0,1,profile,0,0,0,0,0
summary,qat,sw,128K,,8,Image.tif_,1530768864,,1669.767,1649.008,1750.175,1750.175,1750.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,,,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,,,,,,,,,,,0,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,profile,0,,,,
raw,qat,sw,1M,1,8,Image.tif_,1530768864,1222.106,,,,,,1194.54,0.10,10.34,3.32,86.24,25.26x,61.5M,1.43G,1192,1249902592,47582043,0,0,0,0,1192,0,1192,0,407980,1406205976,1093664768,312543592,781121176,0,0,305152,267008,77480,344488,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899102,0,57376703,47294896,28336390473,4887463,0,0,0,0,0,768,0,0,1472,0,1192,1192,280,0,0,0,0,0,0,0,768,280,1192,1192,0,0,0,1192,1192,0,31429332,1219799,28336275028,938203,4507550,28374752433,23772042,23804322,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,10.44,5.727691,5.672828,81.65,80.98,19.02,19.02,23864052,23772140,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,93946407559,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,2,8,Image.tif_,1530768864,1397.153,,,,,,1044.88,0.13,9.20,3.74,86.93,25.26x,61.5M,1.43G,1166,1222639616,46782529,0,0,0,0,1166,0,1166,0,391590,1375533698,1069809664,305726366,764083298,0,0,298496,261184,75790,336974,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4075011,0,57856210,45537596,34549156857,4589607,0,0,0,0,0,768,0,0,1472,0,1166,1166,306,0,0,0,0,0,0,0,768,306,1166,1166,0,0,0,1166,1166,0,30113716,1197123,34549142739,900029,4511566,34586245076,29630482,29662302,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,9.33,5.851886,5.770348,79.87,79.21,20.79,20.79,29723105,29630495,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,96222564054,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,3,8,Image.tif_,1530768864,1292.906,,,,,,1129.13,0.11,10.53,2.83,86.53,25.26x,61.5M,1.43G,1066,1117782016,41969174,0,0,0,0,1066,0,1066,0,342922,1257563398,978059264,279506266,698552998,0,0,272896,238784,69290,308074,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706410,0,49550623,41111330,33561628731,3776331,0,0,0,0,0,768,0,0,1472,0,1066,1066,406,0,0,0,0,0,0,0,768,406,1066,1066,0,0,0,1066,1066,0,27340590,983692,33561647896,800969,4222515,33595323045,31483722,31515312,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,10.64,6.175595,6.111750,73.02,72.42,27.58,27.58,31572296,31483704,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,98596999386,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,4,8,Image.tif_,1530768864,1264.007,,,,,,1154.94,0.10,10.98,3.36,85.55,25.28x,61.4M,1.43G,1132,1186988032,43286736,0,0,0,0,1132,0,1132,0,358860,1335423796,1038614528,296811532,741802996,0,0,289792,253568,73580,327148,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6887654,0,59734068,44379269,37230978413,4367201,0,0,0,0,0,768,0,0,1468,0,1132,1132,336,0,0,0,0,0,0,0,768,336,1132,1132,0,0,0,1132,1132,0,29381396,1112762,37230970512,902271,4056377,37266870160,32889549,32921263,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,11.08,6.287232,6.230488,77.54,77.11,22.89,22.89,32985388,32889557,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,100980123523,0,1,profile,0,0,0,0,0
