completion_mode,recordsize,jobs,mode,rows,elapsed_ms_avg,elapsed_ms_min,elapsed_ms_max,qat_vs_sw_elapsed_pct,poll_vs_interrupt_elapsed_pct,cpu_active_s_per_gib_avg,cpu_system_s_per_gib_avg,qat_byte_share_pct_avg,qat_completion_share_pct_avg,qat_fallback_share_pct_avg,qat_cap_skip_share_pct_avg,qat_service_ns_per_mib_avg,qat_wait_ns_per_mib_avg,dc_poll_calls_delta_avg,dc_poll_success_delta_avg,dc_poll_fails_delta_avg,dc_poll_ns_delta_avg,compressratio_avg,zfs_srcversion,zfs_qat_dc_instances,zfs_qat_dc_poll,zfs_qat_dc_effective_poll,zfs_qat_dc_poll_interval_us,zfs_qat_dc_poll_quota
interrupt,128K,4,qat,5,1142.1727999999998,1079.796,1313.636,5.723339996660282,3.027002569138415,9.119194799999999,9.0435096,73.75399999999999,73.748,26.252,26.252,140109241.2,139894771.6,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,0,0,profile,profile
poll,128K,4,qat,5,1176.7464,1084.203,1268.582,2.341187385787147,3.027002569138415,9.4013468,9.3445226,77.396,77.386,22.613999999999997,22.613999999999997,141385974.0,141164031.4,506844.0,4167.4,0.0,87328618.4,,38C562CCF5F59E6889FDE50,12,1,1,profile,profile
interrupt,128K,4,sw,5,1080.3412,1044.523,1104.561,,,13.004923999999999,12.931078600000001,0.0,,,,,,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,0,0,profile,profile
poll,128K,4,sw,5,1149.8268,1114.631,1218.957,,,13.1314922,13.055309600000001,0.0,,,,,,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,1,1,profile,profile
interrupt,128K,8,qat,5,1669.7674,1594.705,1750.175,13.246966084523294,11.323469364655224,8.2842282,8.2188632,72.678,72.638,27.362000000000002,27.362000000000002,142767659.8,142578630.0,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,0,0,profile,profile
poll,128K,8,qat,5,1858.843,1733.175,2061.55,17.35256268128367,11.323469364655224,11.4754614,11.4008114,78.892,78.84400000000001,21.156,21.156,85016823.2,84784667.8,993756.0,8233.0,0.0,204730224.4,,38C562CCF5F59E6889FDE50,12,1,1,profile,profile
interrupt,128K,8,sw,5,1474.4478000000001,1367.582,1529.2,,,12.607389999999999,12.535823599999999,0.0,,,,,,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,0,0,profile,profile
poll,128K,8,sw,5,1583.9816,1429.34,1841.498,,,14.704098400000001,14.6302322,0.0,,,,,,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,1,1,profile,profile
interrupt,128K,12,qat,5,1838.1362000000001,1777.996,1946.166,0.2843215389960463,0.4629254350140055,9.6053042,9.528243999999999,66.96799999999999,66.922,33.077999999999996,33.077999999999996,143349755.0,143154831.8,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,0,0,profile,profile
poll,128K,12,qat,5,1846.6454,1784.221,1944.027,5.511488447901658,0.4629254350140055,9.8384114,9.7611672,67.46000000000001,67.416,32.583999999999996,32.583999999999996,147088992.4,146893337.2,1345377.6,11047.0,0.0,224512447.8,,38C562CCF5F59E6889FDE50,12,1,1,profile,profile
interrupt,128K,12,sw,5,1832.9248,1721.023,1869.26,,,12.694201,12.6198488,0.0,,,,,,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,0,0,profile,profile
poll,128K,12,sw,5,1750.1842000000001,1625.985,1831.355,,,12.7920372,12.7219418,0.0,,,,,,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,1,1,profile,profile
interrupt,1M,4,qat,5,868.2028,814.125,928.448,-6.20606596969997,7.525246405563313,5.6029732,5.5470641999999994,76.554,76.338,23.662,23.662,32492735.2,32346073.2,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,0,0,profile,profile
poll,1M,4,qat,5,933.5372,858.576,1002.405,-14.10742446630956,7.525246405563313,5.228601,5.1470101999999995,88.2,87.952,12.047999999999998,12.047999999999998,31469904.4,31304219.0,823327.2,593.0,0.0,91482105.8,,38C562CCF5F59E6889FDE50,12,1,1,profile,profile
interrupt,1M,4,sw,5,925.6492000000001,904.736,945.598,,,11.304057,11.2524782,0.0,,,,,,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,0,0,profile,profile
poll,1M,4,sw,5,1086.866,1067.12,1102.177,,,12.553861600000001,12.456278399999999,0.0,,,,,,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,1,1,profile,profile
interrupt,1M,8,qat,5,1290.94,1222.106,1397.153,-13.165455276314852,21.92275396222907,6.0103498,5.9463248,78.5,77.896,22.104,22.104,28734206.2,28642421.8,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,0,0,profile,profile
poll,1M,8,qat,5,1573.9496,1536.734,1624.867,11.374361169040824,21.92275396222907,7.8241510000000005,7.7277234,82.104,81.47200000000001,18.528,18.528,19100634.4,18994712.2,1749645.6,1073.8,0.0,200036540.0,,38C562CCF5F59E6889FDE50,12,1,1,profile,profile
interrupt,1M,8,sw,5,1486.6664,1353.011,1594.562,,,13.397635400000002,13.3385432,0.0,,,,,,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,0,0,profile,profile
poll,1M,8,sw,5,1413.2064,1310.862,1582.595,,,11.9828668,11.9126464,0.0,,,,,,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,1,1,profile,profile
interrupt,1M,12,qat,5,1591.6871999999998,1457.869,1735.021,-2.029881834173919,-8.473210062881698,7.2269182,7.1416822,71.268,70.62,29.380000000000003,29.380000000000003,26752333.0,26657315.0,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,0,0,profile,profile
poll,1M,12,qat,5,1456.8201999999999,1347.005,1599.694,-21.21142993863576,-8.473210062881698,7.0079736,6.9323898,65.686,65.174,34.826,34.826,32280357.0,32186456.2,1677784.8,1305.6,0.0,203238012.0,,38C562CCF5F59E6889FDE50,12,1,1,profile,profile
interrupt,1M,12,sw,5,1624.666,1532.856,1697.961,,,12.412832400000001,12.3435164,0.0,,,,,,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,0,0,profile,profile
poll,1M,12,sw,5,1849.0248,1564.268,2023.619,,,15.150582199999999,15.057362799999998,0.0,,,,,,0.0,0.0,0.0,0.0,,38C562CCF5F59E6889FDE50,12,1,1,profile,profile
