row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,qat_driver_submits_delta,qat_driver_comp_submits_delta,qat_driver_decomp_submits_delta,qat_driver_tx_retries_delta,qat_driver_tx_errors_delta,qat_driver_callbacks_delta,qat_driver_comp_callbacks_delta,qat_driver_decomp_callbacks_delta,qat_driver_create_ns_delta,qat_driver_trans_put_ns_delta,qat_driver_response_wait_ns_delta,qat_driver_callback_process_ns_delta,qat_driver_user_callback_ns_delta,qat_driver_total_ns_delta,qat_driver_avg_response_wait_ns,qat_driver_avg_total_ns,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,zfs_qat_dc_poll,zfs_qat_dc_effective_poll,zfs_qat_dc_poll_interval_us,zfs_qat_dc_effective_poll_interval_us,zfs_qat_dc_poll_quota,zfs_qat_dc_effective_poll_quota,dc_poll_calls_delta,dc_poll_success_delta,dc_poll_retries_delta,dc_poll_fails_delta,dc_poll_ns_delta,zfs_qat_dc_watchdog,zfs_qat_dc_effective_watchdog,zfs_qat_dc_watchdog_timeout_ms,zfs_qat_dc_effective_watchdog_timeout_ms,zfs_qat_dc_watchdog_interval_ms,zfs_qat_dc_effective_watchdog_interval_ms,dc_watchdog_checks_delta,dc_watchdog_stalls_delta,dc_watchdog_runtime_disables_delta,dc_watchdog_last_progress_ns,dc_watchdog_last_stall_ns,dc_watchdog_health,zfs_qat_dc_quarantine_dst,zfs_qat_dc_effective_quarantine_dst,dc_compress_quarantine_dst_requests_delta,dc_compress_quarantine_dst_success_delta,dc_compress_quarantine_dst_fails_delta,dc_compress_quarantine_dst_copy_bytes_delta
raw,qat,sw,128K,1,8,Image.tif_,1530768864,2061.550,,,,,,708.13,0.08,13.81,3.49,82.61,16.92x,104M,1.43G,9173,1202323456,45356735,0,0,0,0,7516,1657,9173,0,2574721,1353118403,1052033024,301103725,750929299,0,0,293536,256844,82557,339401,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8547272,0,151846108,106272258,106236294377,52599708,0,0,0,0,0,768,0,0,11688,0,9173,9173,2515,0,0,0,0,0,0,0,768,2515,9173,9173,0,0,0,9173,9173,0,39889792,8201261,106230245021,16281171,90856027,106391086075,11580752,11598286,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,13.89,12.854830,12.780792,78.54,78.48,21.52,21.52,92922283,92651298,1,1,profile,0,profile,0,979044,7903,971141,0,238678694,profile,1,profile,5000,profile,250,9,0,0,78720394924,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,2,8,Image.tif_,1530768864,1754.983,,,,,,831.83,0.11,14.11,3.05,82.73,16.92x,104M,1.43G,9345,1224867840,45810772,0,0,0,0,8045,1300,9345,0,2294110,1378490295,1071759360,306749625,765009735,0,0,299040,261660,84105,345765,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11225037,0,129984474,94414870,72060221740,38941764,0,0,0,0,0,768,0,0,11686,0,9345,9345,2341,0,0,0,0,0,0,0,768,2341,9345,9345,0,0,0,9345,9345,0,38681506,7765119,72057692282,11170663,53424090,72173024388,7710828,7723170,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,14.22,11.203217,11.116553,80.02,79.97,20.03,20.03,61914233,61688793,1,1,profile,0,profile,0,1060512,8468,1052044,0,201176791,profile,1,profile,5000,profile,250,8,0,0,81695958273,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,3,8,Image.tif_,1530768864,1952.728,,,,,,747.60,0.08,13.54,3.87,82.51,16.92x,104M,1.43G,9192,1204813824,45316659,0,0,0,0,7967,1225,9192,0,2332400,1355921112,1054212096,301727400,752484696,0,0,294144,257376,82728,340104,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6287504,0,120476874,88735921,76649475427,35049044,0,0,0,0,0,768,0,0,11685,0,9192,9192,2493,0,0,0,0,0,0,0,768,2493,9192,9192,0,0,0,9192,9192,0,38594222,6815165,76646180233,10922824,53435200,76759824422,8338357,8350720,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,13.62,11.939581,11.869451,78.71,78.66,21.34,21.34,66922313,66709726,1,1,profile,0,profile,0,1032084,8287,1023797,0,197510713,profile,1,profile,5000,profile,250,10,0,0,84514765537,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,4,8,Image.tif_,1530768864,1733.175,,,,,,842.30,0.09,13.99,3.70,82.21,16.92x,104M,1.43G,9221,1208614912,45236290,0,0,0,0,7407,1814,9221,0,2210213,1360198931,1057538048,302679325,754858723,0,0,295072,258188,82989,341177,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8720595,0,125247364,89776224,99521591405,41463029,0,0,0,0,0,768,0,0,11685,0,9221,9221,2464,0,0,0,0,0,0,0,768,2464,9221,9221,0,0,0,9221,9221,0,37457662,7596959,99519351811,11036638,59926287,99639453276,10792685,10805710,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,14.08,10.955073,10.885048,78.95,78.91,21.09,21.09,86565950,86343426,1,1,profile,0,profile,0,959184,8314,950870,0,197543671,profile,1,profile,5000,profile,250,9,0,0,87422949794,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,5,8,Image.tif_,1530768864,1791.779,,,,,,814.75,0.09,12.87,3.90,83.14,16.92x,104M,1.43G,9138,1197735936,45362159,0,0,0,0,6573,2565,9138,0,2224383,1347955518,1048018944,299954850,748064094,0,0,292416,255864,82242,338106,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13672772,0,132229491,89675046,133106501919,39946257,0,0,0,0,0,768,0,0,11686,0,9138,9138,2548,0,0,0,0,0,0,0,768,2548,9138,9138,0,0,0,9138,9138,0,37677279,7117241,133105884759,9563715,56390153,133220453733,14566194,14578732,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,12.96,10.424606,10.352213,78.24,78.20,21.80,21.80,116759337,116530096,1,1,profile,0,profile,0,937956,8193,929763,0,188741253,profile,1,profile,5000,profile,250,9,0,0,90164234081,0,1,profile,0,0,0,0,0
summary,qat,sw,128K,,8,Image.tif_,1530768864,,1858.843,1791.779,2061.550,2061.550,2061.550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,,,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,,,,,,,,,,,1,1,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,profile,0,,,,
raw,qat,sw,1M,1,8,Image.tif_,1530768864,1624.867,,,,,,898.45,0.12,10.22,2.78,86.88,25.25x,61.4M,1.43G,1216,1275068416,47178618,0,0,0,0,1216,0,1216,0,634271,1434518848,1115684864,318836416,796848448,0,0,311296,272384,79040,351424,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472700,0,66433536,52522653,24217663794,6863505,0,0,0,0,0,768,0,0,1472,0,1216,1216,256,0,0,0,0,0,0,0,768,256,1216,1216,0,0,0,1216,1216,0,31428880,1237515,24218128540,1404686,5452746,24258625414,19916224,19949527,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,10.34,7.542383,7.454850,83.30,82.61,17.39,17.39,20019312,19915842,1,1,profile,0,profile,0,1814016,1081,1812935,0,196061954,profile,1,profile,5000,profile,250,8,0,0,93123765262,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,2,8,Image.tif_,1530768864,1613.382,,,,,,904.84,0.21,11.45,2.95,85.39,25.25x,61.5M,1.43G,1191,1248854016,47705503,0,0,0,0,1191,0,1191,0,620720,1405026273,1092747264,312281391,780465873,0,0,304896,266784,77415,344199,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259130,0,62464843,50127730,20862408437,6879614,0,0,0,0,0,768,0,0,1470,0,1191,1191,279,0,0,0,0,0,0,0,768,279,1191,1191,0,0,0,1191,1191,0,30628490,1278569,20862286808,1715360,6740927,20903448421,17516613,17551174,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,11.66,8.445123,8.293024,81.58,81.02,18.98,18.98,17617028,17516716,1,1,profile,0,profile,0,1814460,1096,1813364,0,201570626,profile,1,profile,5000,profile,250,8,0,0,95766000482,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,3,8,Image.tif_,1530768864,1536.734,,,,,,949.97,0.13,11.59,2.54,85.74,25.24x,61.5M,1.43G,1187,1244659712,48185801,0,0,0,0,1187,0,1187,0,609180,1400307461,1089077248,311232587,777844661,0,0,303872,265888,77155,343043,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166010,0,62974519,50525779,23194827929,6679645,0,0,0,0,0,768,0,0,1470,0,1187,1187,283,0,0,0,0,0,0,0,768,283,1187,1187,0,0,0,1187,1187,0,30832825,1321155,23194819187,1642553,5795477,23235255448,19540706,19574772,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,11.72,8.085307,7.995624,81.31,80.75,19.25,19.25,19641961,19540714,1,1,profile,0,profile,0,1705776,1050,1704726,0,196766782,profile,1,profile,5000,profile,250,8,0,0,98381451550,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,4,8,Image.tif_,1530768864,1556.284,,,,,,938.04,0.11,10.94,3.16,85.80,25.25x,61.5M,1.43G,1193,1250951168,46906011,0,0,0,0,1193,0,1193,0,678260,1407385679,1094582272,312805793,781776479,0,0,305408,267232,77545,344777,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6824303,0,70219402,52504617,22837069331,7878123,0,0,0,0,0,768,0,0,1472,0,1193,1193,279,0,0,0,0,0,0,0,768,279,1193,1193,0,0,0,1193,1193,0,30870252,2275200,22836939215,1927649,6802062,22879723045,19142446,19178309,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,38C562CCF5F59E6889FDE50,2,2,0,12,12,64,11.05,7.720072,7.643221,81.72,81.05,18.95,18.95,19252030,19142556,1,1,profile,0,profile,0,1665372,1087,1664285,0,196983530,profile,1,profile,5000,profile,250,8,0,0,100951807915,0,1,profile,0,0,0,0,0
