source_class,source_label,media,recordsize,jobs,compressratio,qat_vs_sw_pct,qat_elapsed_ms,sw_elapsed_ms,qat_byte_share_pct,qat_cpu_s_per_gib,sw_cpu_s_per_gib,artifact
highly_compressible,Image.tif,hdd,512K,1,24.48,-1.22,593.272,600.569,76.81,5.088,9.771,.codex/skills/openzfs-qat/artifacts/zfs-qat-minbuf-hdd-recordorder-summary-20260524.csv
highly_compressible,Image.tif,hdd,512K,4,24.55,-5.17,944.186,995.678,47.06,7.741,11.362,.codex/skills/openzfs-qat/artifacts/zfs-qat-minbuf-hdd-recordorder-summary-20260524.csv
highly_compressible,Image.tif,hdd,512K,8,24.56,-22.92,1161.498,1506.881,52.12,7.656,12.149,.codex/skills/openzfs-qat/artifacts/zfs-qat-minbuf-hdd-recordorder-summary-20260524.csv
highly_compressible,Image.tif,hdd,1M,1,25.15,9.95,628.519,571.615,100.28,3.876,9.550,.codex/skills/openzfs-qat/artifacts/zfs-qat-minbuf-hdd-recordorder-summary-20260524.csv
highly_compressible,Image.tif,hdd,1M,4,25.24,-4.33,874.427,914.000,74.39,5.546,11.393,.codex/skills/openzfs-qat/artifacts/zfs-qat-minbuf-hdd-recordorder-summary-20260524.csv
highly_compressible,Image.tif,hdd,1M,8,25.26,-9.24,1270.569,1399.947,80.08,5.994,11.851,.codex/skills/openzfs-qat/artifacts/zfs-qat-minbuf-hdd-recordorder-summary-20260524.csv
highly_compressible,Image.tif,nvme,512K,1,24.50,-4.46,507.197,530.889,75.63,4.766,9.698,.codex/skills/openzfs-qat/artifacts/zfs-qat-minbuf-nvme-recordorder-summary-20260523.csv
highly_compressible,Image.tif,nvme,512K,4,24.55,-7.74,732.082,793.527,45.39,7.579,11.315,.codex/skills/openzfs-qat/artifacts/zfs-qat-minbuf-nvme-recordorder-summary-20260523.csv
highly_compressible,Image.tif,nvme,512K,8,24.56,-5.94,827.780,880.074,53.73,7.541,11.761,.codex/skills/openzfs-qat/artifacts/zfs-qat-minbuf-nvme-recordorder-summary-20260523.csv
highly_compressible,Image.tif,nvme,1M,1,25.15,2.70,534.648,520.611,100.28,3.289,9.402,.codex/skills/openzfs-qat/artifacts/zfs-qat-minbuf-nvme-recordorder-summary-20260523.csv
highly_compressible,Image.tif,nvme,1M,4,25.24,6.71,802.481,752.006,81.19,5.394,11.215,.codex/skills/openzfs-qat/artifacts/zfs-qat-minbuf-nvme-recordorder-summary-20260523.csv
highly_compressible,Image.tif,nvme,1M,8,25.25,4.67,914.847,873.992,74.85,6.122,12.563,.codex/skills/openzfs-qat/artifacts/zfs-qat-minbuf-nvme-recordorder-summary-20260523.csv
moderately_compressible,mixed-random-zero-192m.bin,hdd,512K,1,1.96,12.59,1334.341,1185.116,84.03,10.747,34.501,.codex/skills/openzfs-qat/artifacts/zfs-qat-minbuf-mixed-recordorder-summary-20260524.csv
moderately_compressible,mixed-random-zero-192m.bin,hdd,512K,4,1.96,8.36,3187.265,2941.457,74.91,15.296,41.557,.codex/skills/openzfs-qat/artifacts/zfs-qat-minbuf-mixed-recordorder-summary-20260524.csv
moderately_compressible,mixed-random-zero-192m.bin,hdd,512K,8,1.96,7.30,5903.609,5501.756,76.29,15.674,42.020,.codex/skills/openzfs-qat/artifacts/zfs-qat-minbuf-mixed-recordorder-summary-20260524.csv
