recordsize,jobs,qat_elapsed_ms,sw_elapsed_ms,qat_vs_sw_pct,qat_elapsed_stdev_ms,sw_elapsed_stdev_ms,qat_byte_share_pct,qat_cap_skip_share_pct,qat_comp_requests_avg,qat_cpu_s_per_gib,sw_cpu_s_per_gib,qat_compressratio,sw_compressratio,effective_min_buf_size,effective_max_buf_size,run_order,media,zfs_srcversion
128K,1,869.015,831.346,4.53,31.453,13.717,0.00,na,0.0,11.128,10.946,16.86,16.86,524288,1048576,record,hdd,636FD59ED8E9ADFD8C60AC1
128K,4,1056.565,1087.948,-2.88,43.812,27.400,0.00,na,0.0,12.499,12.484,16.90,16.90,524288,1048576,record,hdd,636FD59ED8E9ADFD8C60AC1
128K,8,1486.254,1500.285,-0.94,39.052,73.296,0.00,na,0.0,12.668,12.549,16.91,16.91,524288,1048576,record,hdd,636FD59ED8E9ADFD8C60AC1
256K,1,720.091,714.916,0.72,36.243,21.666,0.00,na,0.0,10.300,10.371,21.53,21.53,524288,1048576,record,hdd,636FD59ED8E9ADFD8C60AC1
256K,4,1007.649,964.466,4.48,14.410,46.116,0.00,na,0.0,11.808,11.755,21.60,21.60,524288,1048576,record,hdd,636FD59ED8E9ADFD8C60AC1
256K,8,1375.379,1380.496,-0.37,5.477,7.243,0.00,na,0.0,12.539,12.304,21.61,21.61,524288,1048576,record,hdd,636FD59ED8E9ADFD8C60AC1
512K,1,593.272,600.569,-1.22,34.689,20.841,76.81,23.20,365.0,5.088,9.771,24.48,24.42,524288,1048576,record,hdd,636FD59ED8E9ADFD8C60AC1
512K,4,944.186,995.678,-5.17,60.647,19.752,47.06,52.94,1460.0,7.741,11.362,24.55,24.51,524288,1048576,record,hdd,636FD59ED8E9ADFD8C60AC1
512K,8,1161.498,1506.881,-22.92,14.306,70.346,52.12,48.00,2926.7,7.656,12.149,24.56,24.52,524288,1048576,record,hdd,636FD59ED8E9ADFD8C60AC1
1M,1,628.519,571.615,9.95,27.875,30.418,100.28,0.00,183.0,3.876,9.550,25.15,25.17,524288,1048576,record,hdd,636FD59ED8E9ADFD8C60AC1
1M,4,874.427,914.000,-4.33,63.598,13.780,74.39,25.82,732.0,5.546,11.393,25.24,25.26,524288,1048576,record,hdd,636FD59ED8E9ADFD8C60AC1
1M,8,1270.569,1399.947,-9.24,24.128,70.307,80.08,20.58,1472.0,5.994,11.851,25.26,25.28,524288,1048576,record,hdd,636FD59ED8E9ADFD8C60AC1
