recordsize,jobs,hdd_qat_vs_sw_pct,nvme_qat_vs_sw_pct,hdd_qat_elapsed_ms,hdd_sw_elapsed_ms,nvme_qat_elapsed_ms,nvme_sw_elapsed_ms,hdd_qat_share_pct,nvme_qat_share_pct,hdd_qat_cpu_s_per_gib,hdd_sw_cpu_s_per_gib,nvme_qat_cpu_s_per_gib,nvme_sw_cpu_s_per_gib,hdd_ratio,nvme_ratio
128K,1,4.53,1.40,869.015,831.346,568.313,560.456,0.00,0.00,11.128,10.946,10.560,9.658,16.86,16.86
128K,4,-2.88,-3.09,1056.565,1087.948,774.159,798.834,0.00,0.00,12.499,12.484,11.050,11.147,16.90,16.90
128K,8,-0.94,5.95,1486.254,1500.285,917.971,866.379,0.00,0.00,12.668,12.549,12.198,11.911,16.91,16.91
256K,1,0.72,2.48,720.091,714.916,547.662,534.410,0.00,0.00,10.300,10.371,9.378,9.490,21.53,21.53
256K,4,4.48,-1.06,1007.649,964.466,778.444,786.789,0.00,0.00,11.808,11.755,11.129,11.112,21.60,21.60
256K,8,-0.37,3.12,1375.379,1380.496,870.623,844.310,0.00,0.00,12.539,12.304,12.046,11.584,21.61,21.61
512K,1,-1.22,-4.46,593.272,600.569,507.197,530.889,76.81,75.63,5.088,9.771,4.766,9.698,24.48,24.50
512K,4,-5.17,-7.74,944.186,995.678,732.082,793.527,47.06,45.39,7.741,11.362,7.579,11.315,24.55,24.55
512K,8,-22.92,-5.94,1161.498,1506.881,827.780,880.074,52.12,53.73,7.656,12.149,7.541,11.761,24.56,24.56
1M,1,9.95,2.70,628.519,571.615,534.648,520.611,100.28,100.28,3.876,9.550,3.289,9.402,25.15,25.15
1M,4,-4.33,6.71,874.427,914.000,802.481,752.006,74.39,81.19,5.546,11.393,5.394,11.215,25.24,25.24
1M,8,-9.24,4.67,1270.569,1399.947,914.847,873.992,80.08,74.85,5.994,11.851,6.122,12.563,25.26,25.25
