media,recordsize,jobs,qat_elapsed_ms,sw_elapsed_ms,qat_vs_sw_pct,qat_elapsed_stdev_ms,sw_elapsed_stdev_ms,qat_byte_share_pct,qat_cap_skip_share_pct,qat_comp_requests_avg,qat_cpu_s_per_gib,sw_cpu_s_per_gib,qat_compressratio,sw_compressratio,effective_min_buf_size,effective_max_buf_size,run_order,source_sha256,zfs_srcversion
nvme,512K,1,823.155,814.528,1.06,26.696,6.566,87.41,12.59,335.7,10.051,33.991,1.96,1.96,524288,1048576,record,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf,636FD59ED8E9ADFD8C60AC1
nvme,512K,4,1099.151,1400.251,-21.50,19.959,90.393,72.55,27.45,1114.3,16.286,39.409,1.96,1.96,524288,1048576,record,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf,636FD59ED8E9ADFD8C60AC1
nvme,512K,8,1265.468,1828.518,-30.79,43.434,13.522,74.37,25.79,2284.7,15.411,41.018,1.96,1.96,524288,1048576,record,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf,636FD59ED8E9ADFD8C60AC1
nvme,1M,1,846.049,789.446,7.17,6.129,7.371,100.00,0.00,192.0,5.746,33.702,1.96,1.96,524288,1048576,record,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf,636FD59ED8E9ADFD8C60AC1
nvme,1M,4,1104.950,1303.500,-15.23,14.541,74.986,83.64,16.36,642.3,11.804,38.639,1.96,1.96,524288,1048576,record,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf,636FD59ED8E9ADFD8C60AC1
nvme,1M,8,1466.801,1864.766,-21.34,19.750,81.471,82.68,17.71,1270.0,14.080,40.923,1.96,1.96,524288,1048576,record,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf,636FD59ED8E9ADFD8C60AC1
hdd,512K,1,1334.341,1185.116,12.59,10.250,52.146,84.03,15.97,322.7,10.747,34.501,1.96,1.96,524288,1048576,record,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf,636FD59ED8E9ADFD8C60AC1
hdd,512K,4,3187.265,2941.457,8.36,29.881,17.613,74.91,25.09,1150.7,15.296,41.557,1.96,1.96,524288,1048576,record,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf,636FD59ED8E9ADFD8C60AC1
hdd,512K,8,5903.609,5501.756,7.30,92.735,94.745,76.29,23.89,2343.7,15.674,42.020,1.96,1.96,524288,1048576,record,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf,636FD59ED8E9ADFD8C60AC1
hdd,1M,1,1373.317,1186.853,15.71,23.974,40.992,100.00,0.00,192.0,6.100,35.615,1.96,1.96,524288,1048576,record,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf,636FD59ED8E9ADFD8C60AC1
hdd,1M,4,3173.806,2962.450,7.13,52.716,31.948,83.33,16.67,640.0,12.232,41.104,1.96,1.96,524288,1048576,record,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf,636FD59ED8E9ADFD8C60AC1
hdd,1M,8,5843.045,5583.214,4.65,95.353,85.296,83.96,16.47,1289.7,12.642,42.225,1.96,1.96,524288,1048576,record,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf,636FD59ED8E9ADFD8C60AC1
