recordsize,jobs,qat_elapsed_ms,sw_elapsed_ms,qat_vs_sw_pct,qat_elapsed_stdev_ms,sw_elapsed_stdev_ms,qat_byte_share_pct,qat_cap_skip_share_pct,qat_comp_requests_avg,qat_cpu_s_per_gib,sw_cpu_s_per_gib,qat_compressratio,sw_compressratio,effective_min_buf_size,effective_max_buf_size,zfs_srcversion
128K,1,574.708,569.731,0.87,28.005,14.544,0.00,na,0.0,11.090,9.965,16.86,16.86,524288,1048576,636FD59ED8E9ADFD8C60AC1
256K,1,573.290,556.431,3.03,12.464,1.420,0.00,na,0.0,11.681,9.985,21.53,21.53,524288,1048576,636FD59ED8E9ADFD8C60AC1
512K,1,529.906,521.635,1.59,12.926,5.242,82.20,17.81,300.0,5.278,9.814,24.50,24.42,524288,1048576,636FD59ED8E9ADFD8C60AC1
1M,1,548.537,538.598,1.85,15.815,6.608,100.28,0.00,183.0,3.695,9.910,25.15,25.17,524288,1048576,636FD59ED8E9ADFD8C60AC1
128K,4,904.148,864.544,4.58,62.244,18.657,0.00,na,0.0,16.284,15.700,16.90,16.90,524288,1048576,636FD59ED8E9ADFD8C60AC1
256K,4,962.668,960.594,0.22,17.110,16.072,0.00,na,0.0,18.310,18.680,21.60,21.60,524288,1048576,636FD59ED8E9ADFD8C60AC1
512K,4,858.753,919.376,-6.59,37.670,40.814,42.08,57.92,614.3,12.346,15.737,24.56,24.51,524288,1048576,636FD59ED8E9ADFD8C60AC1
1M,4,858.013,803.674,6.76,78.666,6.541,88.73,11.52,647.7,5.390,14.817,25.24,25.26,524288,1048576,636FD59ED8E9ADFD8C60AC1
128K,8,1338.062,1328.810,0.70,133.778,78.731,0.00,na,0.0,23.613,20.847,16.91,16.91,524288,1048576,636FD59ED8E9ADFD8C60AC1
256K,8,1137.357,1418.898,-19.84,184.818,50.514,0.00,na,0.0,18.901,21.348,21.61,21.61,524288,1048576,636FD59ED8E9ADFD8C60AC1
512K,8,931.628,1277.824,-27.09,85.485,112.605,55.58,44.53,1622.7,9.345,19.088,24.57,24.52,524288,1048576,636FD59ED8E9ADFD8C60AC1
1M,8,1247.409,1439.829,-13.36,50.987,227.170,80.94,19.72,1181.7,8.227,20.797,25.24,25.28,524288,1048576,636FD59ED8E9ADFD8C60AC1
