recordsize,jobs,qat_elapsed_ms,sw_elapsed_ms,qat_vs_sw_pct,qat_elapsed_stdev_ms,sw_elapsed_stdev_ms,qat_byte_share_pct,qat_cap_skip_share_pct,qat_comp_requests_avg,qat_cpu_s_per_gib,sw_cpu_s_per_gib,qat_compressratio,sw_compressratio,effective_min_buf_size,effective_max_buf_size,run_order,zfs_srcversion
128K,1,568.313,560.456,1.40,23.726,8.706,0.00,na,0.0,10.560,9.658,16.86,16.86,524288,1048576,record,636FD59ED8E9ADFD8C60AC1
128K,4,774.159,798.834,-3.09,10.488,4.160,0.00,na,0.0,11.050,11.147,16.90,16.90,524288,1048576,record,636FD59ED8E9ADFD8C60AC1
128K,8,917.971,866.379,5.95,31.463,29.827,0.00,na,0.0,12.198,11.911,16.91,16.91,524288,1048576,record,636FD59ED8E9ADFD8C60AC1
256K,1,547.662,534.410,2.48,7.077,6.844,0.00,na,0.0,9.378,9.490,21.53,21.53,524288,1048576,record,636FD59ED8E9ADFD8C60AC1
256K,4,778.444,786.789,-1.06,8.474,28.080,0.00,na,0.0,11.129,11.112,21.60,21.60,524288,1048576,record,636FD59ED8E9ADFD8C60AC1
256K,8,870.623,844.310,3.12,31.054,1.548,0.00,na,0.0,12.046,11.584,21.61,21.61,524288,1048576,record,636FD59ED8E9ADFD8C60AC1
512K,1,507.197,530.889,-4.46,21.744,8.238,75.63,24.38,365.0,4.766,9.698,24.50,24.42,524288,1048576,record,636FD59ED8E9ADFD8C60AC1
512K,4,732.082,793.527,-7.74,10.523,21.624,45.39,54.61,1460.0,7.579,11.315,24.55,24.51,524288,1048576,record,636FD59ED8E9ADFD8C60AC1
512K,8,827.780,880.074,-5.94,21.076,29.994,53.73,46.42,2927.7,7.541,11.761,24.56,24.52,524288,1048576,record,636FD59ED8E9ADFD8C60AC1
1M,1,534.648,520.611,2.70,6.924,13.013,100.28,0.00,183.0,3.289,9.402,25.15,25.17,524288,1048576,record,636FD59ED8E9ADFD8C60AC1
1M,4,802.481,752.006,6.71,51.782,3.471,81.19,19.03,732.0,5.394,11.215,25.24,25.26,524288,1048576,record,636FD59ED8E9ADFD8C60AC1
1M,8,914.847,873.992,4.67,33.261,64.077,74.85,25.67,1470.0,6.122,12.563,25.25,25.28,524288,1048576,record,636FD59ED8E9ADFD8C60AC1
