recordsize,jobs,qat_elapsed_ms,sw_elapsed_ms,qat_vs_sw_pct,qat_byte_share_pct,qat_cap_skip_share_pct,qat_comp_requests_avg,qat_cpu_s_per_gib,sw_cpu_s_per_gib,qat_compressratio,sw_compressratio,effective_min_buf_size,effective_max_buf_size,zfs_srcversion
128K,1,824.557,811.382,1.62,0.00,na,0.0,11.504,10.660,16.86,16.86,524288,1048576,636FD59ED8E9ADFD8C60AC1
256K,1,684.497,711.826,-3.84,0.00,na,0.0,10.657,10.214,21.53,21.53,524288,1048576,636FD59ED8E9ADFD8C60AC1
512K,1,578.862,589.516,-1.81,75.72,24.29,276.3,5.257,10.169,24.47,24.42,524288,1048576,636FD59ED8E9ADFD8C60AC1
1M,1,626.185,568.743,10.10,100.28,0.00,183.0,3.699,9.356,25.15,25.17,524288,1048576,636FD59ED8E9ADFD8C60AC1
128K,4,1086.067,1103.393,-1.57,0.00,na,0.0,15.783,17.129,16.90,16.90,524288,1048576,636FD59ED8E9ADFD8C60AC1
256K,4,1098.747,1161.183,-5.38,0.00,na,0.0,19.029,19.388,21.60,21.60,524288,1048576,636FD59ED8E9ADFD8C60AC1
512K,4,1002.003,1127.795,-11.15,48.22,51.78,704.0,11.748,19.204,24.55,24.51,524288,1048576,636FD59ED8E9ADFD8C60AC1
1M,4,899.184,1050.103,-14.37,82.20,18.03,600.0,5.932,16.586,25.23,25.26,524288,1048576,636FD59ED8E9ADFD8C60AC1
128K,8,1833.666,1533.188,19.60,0.00,na,0.0,23.469,12.989,16.91,16.91,524288,1048576,636FD59ED8E9ADFD8C60AC1
256K,8,1801.808,1459.480,23.46,0.00,na,0.0,22.935,12.175,21.61,21.61,524288,1048576,636FD59ED8E9ADFD8C60AC1
512K,8,1611.015,1537.043,4.81,45.36,54.75,1324.3,14.148,16.626,24.55,24.52,524288,1048576,636FD59ED8E9ADFD8C60AC1
1M,8,1303.904,1647.994,-20.88,77.06,23.57,1125.0,6.074,15.143,25.27,25.28,524288,1048576,636FD59ED8E9ADFD8C60AC1
