media,recordsize,jobs,qat_elapsed_ms,sw_elapsed_ms,qat_vs_sw_pct,qat_elapsed_stdev_ms,sw_elapsed_stdev_ms,qat_byte_share_pct,qat_cap_skip_share_pct,qat_comp_requests_avg,qat_cpu_s_per_gib,sw_cpu_s_per_gib,qat_compressratio,sw_compressratio,effective_min_buf_size,effective_max_buf_size,run_order,source_sha256,zfs_srcversion
nvme,512K,1,437.194,725.878,-39.77,32.485,18.315,86.63,13.37,332.7,12.356,54.901,1.00,1.00,524288,1048576,record,ee19e0b754540770fd85a592ad2a111046e5cee404a594efe29edd5e3dc410fd,636FD59ED8E9ADFD8C60AC1
nvme,512K,4,901.606,1447.742,-37.72,23.935,13.778,75.35,24.65,1157.3,20.721,65.399,1.00,1.00,524288,1048576,record,ee19e0b754540770fd85a592ad2a111046e5cee404a594efe29edd5e3dc410fd,636FD59ED8E9ADFD8C60AC1
nvme,512K,8,1223.394,2359.402,-48.15,62.744,11.067,76.47,23.71,2349.3,19.307,65.077,1.00,1.00,524288,1048576,record,ee19e0b754540770fd85a592ad2a111046e5cee404a594efe29edd5e3dc410fd,636FD59ED8E9ADFD8C60AC1
nvme,1M,1,421.127,720.308,-41.54,29.227,26.111,100.00,0.00,192.0,3.620,53.297,1.00,1.00,524288,1048576,record,ee19e0b754540770fd85a592ad2a111046e5cee404a594efe29edd5e3dc410fd,636FD59ED8E9ADFD8C60AC1
nvme,1M,4,797.591,1386.274,-42.47,4.091,25.382,80.08,19.92,615.0,15.807,64.431,1.00,1.00,524288,1048576,record,ee19e0b754540770fd85a592ad2a111046e5cee404a594efe29edd5e3dc410fd,636FD59ED8E9ADFD8C60AC1
nvme,1M,8,1349.931,2336.529,-42.22,227.396,23.362,79.84,20.54,1226.3,21.137,65.536,1.00,1.00,524288,1048576,record,ee19e0b754540770fd85a592ad2a111046e5cee404a594efe29edd5e3dc410fd,636FD59ED8E9ADFD8C60AC1
hdd,512K,1,1742.042,1686.185,3.31,23.736,86.525,81.51,18.49,313.0,14.169,54.778,1.00,1.00,524288,1048576,record,ee19e0b754540770fd85a592ad2a111046e5cee404a594efe29edd5e3dc410fd,636FD59ED8E9ADFD8C60AC1
hdd,512K,4,5042.946,5032.895,0.20,154.238,40.440,75.02,24.98,1152.3,19.871,63.590,1.00,1.00,524288,1048576,record,ee19e0b754540770fd85a592ad2a111046e5cee404a594efe29edd5e3dc410fd,636FD59ED8E9ADFD8C60AC1
hdd,512K,8,9850.433,9619.129,2.40,74.474,137.028,76.14,24.04,2339.0,20.019,65.153,1.00,1.00,524288,1048576,record,ee19e0b754540770fd85a592ad2a111046e5cee404a594efe29edd5e3dc410fd,636FD59ED8E9ADFD8C60AC1
hdd,1M,1,1522.678,1566.248,-2.78,64.347,107.120,100.00,0.00,192.0,4.569,55.990,1.00,1.00,524288,1048576,record,ee19e0b754540770fd85a592ad2a111046e5cee404a594efe29edd5e3dc410fd,636FD59ED8E9ADFD8C60AC1
hdd,1M,4,5027.099,4796.852,4.80,78.235,31.458,80.30,19.70,616.7,16.490,65.722,1.00,1.00,524288,1048576,record,ee19e0b754540770fd85a592ad2a111046e5cee404a594efe29edd5e3dc410fd,636FD59ED8E9ADFD8C60AC1
hdd,1M,8,9715.195,9595.160,1.25,189.291,84.411,81.70,18.70,1255.0,16.635,66.013,1.00,1.00,524288,1048576,record,ee19e0b754540770fd85a592ad2a111046e5cee404a594efe29edd5e3dc410fd,636FD59ED8E9ADFD8C60AC1
