quota,jobs,rows,elapsed_ms_avg,cpu_active_s_per_gib_avg,cpu_system_s_per_gib_avg,qat_byte_share_pct_avg,qat_service_ns_per_mib_avg,qat_wait_ns_per_mib_avg,dc_poll_calls_delta_avg,dc_poll_success_delta_avg,dc_poll_ns_delta_avg
profile,8,3,1398.5166666666667,6.597511,6.528680666666666,81.60666666666667,21485576.666666668,21388071.0,147464.0,1089.6666666666667,25332248.666666668
1,8,3,1232.9056666666668,5.939083666666666,5.876456666666667,77.77,31309199.666666668,31215301.666666668,140224.0,1135.3333333333333,21236128.666666668
4,8,3,1252.0773333333334,5.929514999999999,5.871394666666667,77.47333333333334,30341221.333333332,30248244.0,137856.0,1021.0,22050240.666666668
16,8,3,1271.0536666666667,6.244390333333333,6.156054666666667,81.60666666666667,27323737.666666668,27225651.333333332,146900.0,1068.6666666666667,23283338.333333332
64,8,3,1406.2553333333333,7.054629333333334,6.987630333333333,77.65333333333334,25609376.333333332,25504861.333333332,146136.0,1005.0,28718731.666666668
profile,12,3,1542.5986666666668,7.158075,7.079591000000001,70.64666666666666,25443609.0,25346301.333333332,187712.0,1398.0,29914667.333333332
1,12,3,1470.8153333333332,7.100829,7.021488000000001,65.68666666666667,32186012.0,32093540.0,172224.0,1438.3333333333333,27958887.333333332
4,12,3,1495.893,6.997547666666667,6.932286666666666,68.69666666666667,31676596.666666668,31578884.666666668,178392.0,1366.6666666666667,29366386.0
16,12,3,1773.4040000000002,9.045296333333333,8.942919000000002,73.14,30131382.333333332,30016329.333333332,199548.0,1407.6666666666667,44421958.0
64,12,3,1690.3076666666666,7.9044316666666665,7.804904666666666,73.14333333333333,26886002.666666668,26782895.0,199020.0,1427.3333333333333,38738766.333333336
