row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,qat_driver_submits_delta,qat_driver_comp_submits_delta,qat_driver_decomp_submits_delta,qat_driver_tx_retries_delta,qat_driver_tx_errors_delta,qat_driver_callbacks_delta,qat_driver_comp_callbacks_delta,qat_driver_decomp_callbacks_delta,qat_driver_create_ns_delta,qat_driver_trans_put_ns_delta,qat_driver_response_wait_ns_delta,qat_driver_callback_process_ns_delta,qat_driver_user_callback_ns_delta,qat_driver_total_ns_delta,qat_driver_avg_response_wait_ns,qat_driver_avg_total_ns,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,zfs_qat_dc_poll,zfs_qat_dc_effective_poll,zfs_qat_dc_poll_interval_us,zfs_qat_dc_effective_poll_interval_us,zfs_qat_dc_poll_quota,zfs_qat_dc_effective_poll_quota,dc_poll_calls_delta,dc_poll_success_delta,dc_poll_retries_delta,dc_poll_fails_delta,dc_poll_ns_delta,zfs_qat_dc_watchdog,zfs_qat_dc_effective_watchdog,zfs_qat_dc_watchdog_timeout_ms,zfs_qat_dc_effective_watchdog_timeout_ms,zfs_qat_dc_watchdog_interval_ms,zfs_qat_dc_effective_watchdog_interval_ms,dc_watchdog_checks_delta,dc_watchdog_stalls_delta,dc_watchdog_runtime_disables_delta,dc_watchdog_last_progress_ns,dc_watchdog_last_stall_ns,dc_watchdog_health,zfs_qat_dc_quarantine_dst,zfs_qat_dc_effective_quarantine_dst,dc_compress_quarantine_dst_requests_delta,dc_compress_quarantine_dst_success_delta,dc_compress_quarantine_dst_fails_delta,dc_compress_quarantine_dst_copy_bytes_delta
raw,qat,sw,64K,1,4,Image.tif_,765384432,1285.606,,,,,,567.77,0.07,11.85,4.92,83.16,11.56x,81.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,11680,0,0,0,11680,0,0,0,0,0,0,0,768,11680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,11.92,13.758921,13.678122,0.00,0.00,100.00,100.00,na,na,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,71153610524,0,1,profile,0,0,0,0,0
raw,qat,sw,64K,2,4,Image.tif_,765384432,1222.152,,,,,,597.25,0.06,12.58,4.39,82.97,11.56x,81.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,11680,0,0,0,11680,0,0,0,0,0,0,0,768,11680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,12.64,13.869874,13.804036,0.00,0.00,100.00,100.00,na,na,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,71153610524,0,1,profile,0,0,0,0,0
raw,qat,sw,64K,3,4,Image.tif_,765384432,1209.411,,,,,,603.54,0.08,12.60,4.87,82.45,11.56x,81.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,11680,0,0,0,11680,0,0,0,0,0,0,0,768,11680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,12.68,13.768714,13.681845,0.00,0.00,100.00,100.00,na,na,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,71153610524,0,1,profile,0,0,0,0,0
raw,qat,sw,64K,4,4,Image.tif_,765384432,1354.912,,,,,,538.73,0.06,11.03,4.24,84.67,11.56x,81.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,11680,0,0,0,11680,0,0,0,0,0,0,0,768,11680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,11.09,13.490960,13.417970,0.00,0.00,100.00,100.00,na,na,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,71153610524,0,1,profile,0,0,0,0,0
raw,qat,sw,64K,5,4,Image.tif_,765384432,1262.842,,,,,,578.00,0.07,12.60,4.22,83.10,11.56x,81.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,11680,0,0,0,11680,0,0,0,0,0,0,0,768,11680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,12.67,14.365669,14.286301,0.00,0.00,100.00,100.00,na,na,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,71153610524,0,1,profile,0,0,0,0,0
summary,qat,sw,64K,,4,Image.tif_,765384432,,1266.985,1262.842,1354.912,1354.912,1354.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,,,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,,,,,,,,,,,0,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,profile,0,,,,
raw,qat,sw,128K,1,4,Image.tif_,765384432,1192.368,,,,,,612.17,0.05,8.80,2.90,88.24,16.92x,51.9M,730M,4810,630456320,23508650,0,0,0,0,3062,1748,4810,0,1081112,709527910,551649280,157888250,393761030,0,0,153920,134680,43290,177970,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8590719,1168681,61940407,38950892,83306779234,7235302,0,0,0,0,0,768,0,0,5840,0,4810,4810,1030,0,0,0,0,0,0,0,768,1030,4810,4810,0,0,0,4810,4810,0,19836081,3385719,83306118525,3470390,19729473,83354013096,17319359,17329316,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,8.85,9.474446,9.420918,82.37,82.36,17.64,17.64,138735810,138555974,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,128315265267,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,2,4,Image.tif_,765384432,1141.278,,,,,,639.57,0.05,8.79,3.94,87.21,16.92x,51.9M,730M,4332,567803904,21012839,0,0,0,0,2736,1596,4332,0,993590,639017652,496828416,142197900,354630516,0,0,138624,121296,38988,160284,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3899185,1139031,50731809,35000061,73292617887,6408768,0,0,0,0,0,768,0,0,5840,0,4332,4332,1508,0,0,0,0,0,0,0,768,1508,4332,4332,0,0,0,4332,4332,0,17902801,3059892,73291859609,3040112,18708910,73335850755,16918711,16928866,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,8.84,9.058242,9.007008,74.19,74.18,25.82,25.82,135521253,135351095,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,130506948698,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,3,4,Image.tif_,765384432,1185.214,,,,,,615.86,0.07,8.00,3.07,88.87,16.92x,51.9M,730M,4518,592183296,22184352,0,0,0,0,2810,1708,4518,0,1040701,666454698,518160384,148303350,369857034,0,0,144576,126504,40662,167166,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1608890,1064531,53506815,37867014,79447540156,7173335,0,0,0,0,0,768,0,0,5840,0,4518,4518,1322,0,0,0,0,0,0,0,768,1322,4518,4518,0,0,0,4518,4518,0,18670230,3420570,79447014216,3181079,20168460,79493965739,17584553,17594945,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,8.07,8.587575,8.513085,77.37,77.36,22.64,22.64,140851859,140677362,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,132685088475,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,4,4,Image.tif_,765384432,1111.175,,,,,,656.90,0.15,9.35,3.26,87.23,16.92x,51.9M,730M,5149,674889728,24612027,0,0,0,0,3317,1832,5149,0,1159961,759534139,590528512,169015925,421512587,0,0,164768,144172,46341,190513,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1706952,855881,57686687,41481963,89410247490,7292062,0,0,0,0,0,768,0,0,5840,0,5149,5149,691,0,0,0,0,0,0,0,768,691,5149,5149,0,0,0,5149,5149,0,21082014,3582858,89409448952,3608797,21728705,89461009209,17364429,17374443,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,9.50,9.477773,9.328124,88.18,88.17,11.83,11.83,139082087,138916679,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,134953820728,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,5,4,Image.tif_,765384432,1157.917,,,,,,630.38,0.04,8.64,3.53,87.78,16.91x,51.9M,730M,3975,521011200,20081159,0,0,0,0,2364,1611,3975,0,919820,586356225,455884800,130479375,325405425,0,0,127200,111300,35775,147075,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1437050,963331,45344953,32591563,71392695210,5720575,0,0,0,0,0,768,0,0,5840,0,3975,3975,1865,0,0,0,0,0,0,0,768,1865,3975,3975,0,0,0,3975,3975,0,16451109,2957532,71392254314,2672356,16771834,71432250171,17960315,17970377,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,8.68,9.023964,8.982379,68.07,68.07,31.93,31.93,143851778,143683412,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,137082917809,0,1,profile,0,0,0,0,0
summary,qat,sw,128K,,4,Image.tif_,765384432,,1157.590,1157.917,1192.368,1192.368,1192.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,,,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,,,,,,,,,,,0,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,profile,0,,,,
