recordsize,jobs,qat_elapsed_ms,sw_elapsed_ms,qat_vs_sw_pct,qat_byte_share_pct,qat_fallback_share_pct,cpu_qat_s_per_gib,cpu_sw_s_per_gib,qat_service_ns_per_mib,qat_wait_ns_per_mib,async_completions_avg,async_cap_skips_avg,scratch_alloc_ns_per_request,compression_ratio
64K,1,944.543,915.940,-3.123,0.000,100.000,12.657,12.512,na,na,0.000,2920.000,na,11.550
128K,1,836.261,804.266,-3.978,99.790,0.220,5.754,10.641,93418613.000,93251001.800,1456.800,3.200,3006.011,16.880
256K,1,745.799,656.734,-13.562,74.966,25.042,5.875,10.410,33814422.200,33694766.000,547.200,182.800,1355.159,21.620
512K,1,572.662,580.536,1.356,72.336,27.674,5.311,10.080,17626501.000,17522735.400,264.000,101.000,6335.188,24.476
1M,1,610.531,567.494,-7.584,100.280,0.000,3.565,9.996,18351663.400,18184821.400,183.000,0.000,83737.845,25.150
64K,4,1266.985,1249.664,-1.386,0.000,100.000,13.851,13.612,na,na,0.000,11680.000,na,11.560
128K,4,1157.590,1041.637,-11.132,78.036,21.972,9.124,12.562,139608557.400,139436904.400,4556.800,1283.200,756.794,16.918
256K,4,1019.453,981.766,-3.839,46.800,53.206,8.297,11.929,40613709.800,40482537.200,1366.400,1553.600,292.909,21.648
512K,4,906.589,957.776,5.344,47.650,52.358,7.676,11.391,20477195.200,20373902.800,695.600,764.400,576.033,24.556
1M,4,910.550,920.369,1.067,70.310,29.890,6.000,10.918,33912126.400,33820599.600,513.200,218.800,3581.906,25.248
64K,8,1745.486,1706.287,-2.297,0.000,100.000,14.152,13.772,na,na,0.000,23360.000,na,11.570
128K,8,1628.198,1496.366,-8.810,76.088,23.956,8.712,12.818,137564084.400,137394964.600,8886.000,2799.200,412.765,16.926
256K,8,1352.355,1418.444,4.659,57.176,42.900,7.678,12.622,40726265.600,40602699.600,3338.800,2508.600,221.373,21.670
512K,8,1176.027,1434.235,18.003,54.204,45.940,7.497,13.707,20223740.000,20121360.200,1582.600,1344.800,242.536,24.570
1M,8,1283.778,1413.931,9.205,76.542,24.092,5.975,12.023,30917606.000,30827418.600,1117.400,354.600,222.816,25.260
