variant,recordsize,jobs,qat_elapsed_ms,sw_elapsed_ms,qat_vs_sw_pct,qat_byte_share_pct,qat_cpu_active_s_per_gib,sw_cpu_active_s_per_gib,qat_service_ns_per_mib,qat_wait_ns_per_mib,async_completions_avg,async_cap_skips_avg,scratch_alloc_ns_per_request,compression_ratio
async_page_stack,128K,4,1146.306,1096.123,-4.578,70.194,9.085528,12.319835,141487361.400,141297855.000,4099.000,1741.000,2771.720,16.914
async_page_stack,128K,8,1670.639,1469.427,-13.693,74.272,9.047857,12.609072,142232628.600,142060403.200,8674.200,3010.600,902.121,16.928
async_page_stack,1M,4,873.414,999.120,12.582,76.472,5.487512,11.499323,32396013.800,32230815.000,558.200,173.800,79011.153,25.240
async_page_stack,1M,8,1281.288,1440.168,11.032,78.034,6.010104,12.043638,30836516.000,30743848.000,1139.200,332.800,1426.681,25.266
scratch_reuse_cold,128K,4,1223.240,1163.763,-5.111,95.840,9.809608,15.500920,103427317.000,103260850.000,5596.400,243.600,1819.017,16.918
scratch_reuse_cold,128K,8,1586.285,1665.091,4.733,75.406,8.893231,17.542144,142294727.400,142125180.000,8806.600,2878.200,393.091,16.926
scratch_reuse_cold,1M,4,889.840,948.041,6.139,83.760,5.602406,11.471660,33973641.400,33790579.000,611.400,120.600,101169.807,25.246
scratch_reuse_cold,1M,8,1434.257,1590.986,9.851,82.214,6.450098,17.059280,24057569.200,23963775.400,1200.200,270.000,210.038,25.258
scratch_reuse_warm,128K,4,1156.955,1049.685,-10.219,84.436,9.382093,13.064757,136709925.600,136543763.000,4930.600,909.400,620.967,16.918
scratch_reuse_warm,128K,8,1670.716,1511.413,-10.540,77.062,9.618776,13.189342,138476547.800,138304612.800,9000.000,2686.000,475.477,16.928
scratch_reuse_warm,1M,4,878.643,934.885,6.016,77.432,5.640596,11.774308,34287394.200,34196058.200,565.200,166.800,231.691,25.244
scratch_reuse_warm,1M,8,1238.718,1469.234,15.690,75.308,6.126758,12.582888,30214455.000,30123046.400,1099.400,372.000,205.163,25.264
