row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,qat_driver_submits_delta,qat_driver_comp_submits_delta,qat_driver_decomp_submits_delta,qat_driver_tx_retries_delta,qat_driver_tx_errors_delta,qat_driver_callbacks_delta,qat_driver_comp_callbacks_delta,qat_driver_decomp_callbacks_delta,qat_driver_create_ns_delta,qat_driver_trans_put_ns_delta,qat_driver_response_wait_ns_delta,qat_driver_callback_process_ns_delta,qat_driver_user_callback_ns_delta,qat_driver_total_ns_delta,qat_driver_avg_response_wait_ns,qat_driver_avg_total_ns,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,zfs_qat_dc_poll,zfs_qat_dc_effective_poll,zfs_qat_dc_poll_interval_us,zfs_qat_dc_effective_poll_interval_us,zfs_qat_dc_poll_quota,zfs_qat_dc_effective_poll_quota,dc_poll_calls_delta,dc_poll_success_delta,dc_poll_retries_delta,dc_poll_fails_delta,dc_poll_ns_delta,zfs_qat_dc_watchdog,zfs_qat_dc_effective_watchdog,zfs_qat_dc_watchdog_timeout_ms,zfs_qat_dc_effective_watchdog_timeout_ms,zfs_qat_dc_watchdog_interval_ms,zfs_qat_dc_effective_watchdog_interval_ms,dc_watchdog_checks_delta,dc_watchdog_stalls_delta,dc_watchdog_runtime_disables_delta,dc_watchdog_last_progress_ns,dc_watchdog_last_stall_ns,dc_watchdog_health,zfs_qat_dc_quarantine_dst,zfs_qat_dc_effective_quarantine_dst,dc_compress_quarantine_dst_requests_delta,dc_compress_quarantine_dst_success_delta,dc_compress_quarantine_dst_fails_delta,dc_compress_quarantine_dst_copy_bytes_delta
raw,qat,sw,128K,1,4,Image.tif_,765384432,1132.834,,,,,,644.34,0.07,9.32,3.72,86.88,16.92x,51.9M,730M,4320,566231040,21206771,0,0,0,0,2707,1613,4320,0,971870,637247520,495452160,141804000,353648160,0,0,138240,120960,38880,159840,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2663560,820720,50167770,36820020,76079152440,5982370,0,0,0,0,0,768,0,0,5840,0,4320,4320,1520,0,0,0,0,0,0,0,768,1520,4320,4320,0,0,0,4320,4320,0,18537049,3277559,76078995434,2950991,18727764,76123690970,17610878,17621224,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,9.39,9.550631,9.479434,73.98,73.97,26.03,26.03,141059486,140887319,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,174019167284,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,2,4,Image.tif_,765384432,1152.027,,,,,,633.60,0.12,9.30,2.69,87.89,16.92x,51.8M,730M,5433,712114176,26343734,0,0,0,0,3451,1982,5433,0,1166640,801427263,623099904,178338225,444761679,0,0,173856,152124,48897,201021,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5841690,1405890,62950970,42372830,94747581390,7967580,0,0,0,0,0,768,0,0,5840,0,5433,5433,407,0,0,0,0,0,0,0,768,407,5433,5433,0,0,0,5433,5433,0,22251549,3748216,94747574776,3293989,22173326,94800337069,17439273,17448985,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,9.42,9.743473,9.619352,93.04,93.03,6.97,6.97,139681020,139514200,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,5,0,0,176148439694,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,3,4,Image.tif_,765384432,1199.312,,,,,,608.62,0.07,8.39,2.94,88.60,16.92x,51.8M,730M,5555,728104960,26576977,0,0,0,0,3883,1672,5555,0,1175580,819423605,637091840,182342875,454748965,0,0,177760,155540,49995,205535,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518580,1159610,58179570,43146900,88615906290,7297820,0,0,0,0,0,768,0,0,5840,0,5555,5555,285,0,0,0,0,0,0,0,768,285,5555,5555,0,0,0,5555,5555,0,22971743,3804704,88615523150,3653023,21623082,88668919268,15952389,15962001,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,8.46,9.109672,9.034297,95.13,95.12,4.88,4.88,127776102,127619667,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,178325628784,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,4,4,Image.tif_,765384432,1142.064,,,,,,639.13,0.05,8.97,3.33,87.64,16.92x,51.9M,730M,4952,649068544,24198850,0,0,0,0,3321,1631,4952,0,1106980,730474472,567934976,162549400,405385576,0,0,158464,138656,44568,183224,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2801770,1318900,55221690,40875840,81818600640,7317940,0,0,0,0,0,768,0,0,5840,0,4952,4952,888,0,0,0,0,0,0,0,768,888,4952,4952,0,0,0,4952,4952,0,21115272,3572596,81818270963,3371793,20514768,81868136182,16522267,16532337,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,9.02,9.249052,9.197782,84.80,84.79,15.21,15.21,132345745,132178676,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,180500314874,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,5,4,Image.tif_,765384432,1158.537,,,,,,630.04,0.08,8.82,3.62,87.48,16.91x,51.9M,730M,4393,575799296,21861252,0,0,0,0,2698,1695,4393,0,981860,648015823,503824384,144200225,359624159,0,0,140576,123004,39537,162541,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1483100,980350,49346630,36814450,78260720270,6268730,0,0,0,0,0,768,0,0,5840,0,4393,4393,1447,0,0,0,0,0,0,0,768,1447,4393,4393,0,0,0,4393,4393,0,18571706,3109942,78260544290,3028829,18421779,78304866782,17814829,17824918,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,8.90,9.257637,9.174422,75.23,75.22,24.78,24.78,142687275,142518953,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,182623266784,0,1,profile,0,0,0,0,0
summary,qat,sw,128K,,4,Image.tif_,765384432,,1156.955,1152.027,1199.312,1199.312,1199.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,,,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,,,,,,,,,,,0,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,profile,0,,,,
raw,qat,sw,1M,1,4,Image.tif_,765384432,865.934,,,,,,842.94,0.05,7.19,2.74,90.01,25.24x,30.8M,732M,570,597688320,22362134,0,0,0,0,570,0,570,0,179290,672430710,522977280,149454570,373522710,0,0,145920,127680,37050,164730,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124870,350,27372450,22387200,18985546600,1749390,0,0,0,0,0,768,0,0,732,0,570,570,162,0,0,0,0,0,0,0,768,162,570,570,0,0,0,570,570,0,14803863,498072,18985701941,412051,2013785,19003609026,33308249,33339664,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,7.24,5.628901,5.590027,78.09,77.87,22.13,22.13,33398343,33307976,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,4,0,0,184833318234,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,2,4,Image.tif_,765384432,890.953,,,,,,819.27,0.09,6.86,2.95,90.10,25.24x,30.8M,732M,556,583008256,23125169,0,0,0,0,556,0,556,0,173890,655914868,510132224,145783756,364348468,0,0,142336,124544,36140,160684,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137520,3100,27032520,22047670,19118556520,1745990,0,0,0,0,0,768,0,0,732,0,556,556,176,0,0,0,0,0,0,0,768,176,556,556,0,0,0,556,556,0,14562309,510372,19118778768,410387,2006959,19136455869,34386292,34418086,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,6.95,5.559552,5.487558,76.17,75.96,24.04,24.04,34477307,34385893,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,5,0,0,186697601104,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,3,4,Image.tif_,765384432,882.025,,,,,,827.56,0.09,7.21,2.78,89.92,25.23x,30.8M,732M,548,574619648,22606777,0,0,0,0,548,0,548,0,171500,646477244,502792192,143686148,359106044,0,0,140288,122752,35620,158372,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131760,4530,26466200,21562290,18990917900,1796300,0,0,0,0,0,768,0,0,732,0,548,548,184,0,0,0,0,0,0,0,768,184,548,548,0,0,0,548,548,0,14325295,517390,18991034271,455298,2134102,19008654564,34655172,34687325,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,7.30,5.781013,5.709741,75.08,74.86,25.14,25.14,34745881,34654960,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,5,0,0,188624688514,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,4,4,Image.tif_,765384432,888.096,,,,,,821.90,0.07,7.22,2.27,90.44,25.25x,30.8M,732M,562,589299712,22877424,0,0,0,0,562,0,562,0,171840,662993086,515637248,147356962,368280286,0,0,143872,125888,36530,162418,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128480,1160,28017040,22603140,19280387020,1995890,0,0,0,0,0,768,0,0,732,0,562,562,170,0,0,0,0,0,0,0,768,170,562,562,0,0,0,562,562,0,14868666,509178,19280539092,409569,2151933,19298671512,34307009,34339273,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,FC2F209AA09A507B8C7F723,2,2,0,12,12,64,7.29,5.812831,5.757015,76.99,76.78,23.22,23.22,34400361,34306738,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,5,0,0,190529238804,0,1,profile,0,0,0,0,0
