run,mode,recordsize,jobs,elapsed_ms,comp_requests_delta,qat_byte_share_pct,qat_wait_ns_per_mib,qat_setup_ns_per_req,qat_submit_ns_per_req,qat_wait_ns_per_req,qat_cleanup_ns_per_req,qat_page_array_alloc_ns_per_req,qat_page_array_free_ns_per_req,qat_buffer_list_alloc_ns_per_req,qat_buffer_list_free_ns_per_req,qat_req_alloc_ns_per_req,qat_req_free_ns_per_req,qat_src_buffers_per_req,qat_dst_total_buffers_per_req,qat_bound_bytes_per_req,qat_scratch_bytes_per_req,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_page_array_stack_src_delta,dc_compress_page_array_heap_src_delta,dc_compress_page_array_stack_dst_delta,dc_compress_page_array_heap_dst_delta,dc_compress_page_array_heap_scratch_delta,dc_compress_sync_submits_delta,dc_compress_sync_completions_delta,dc_compress_async_submits_delta,dc_compress_async_completions_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cap_skips_delta,cpu_active_s_per_gib,compressratio
sync,qat,64K,4,1393.889,11680,100.01,8551725,4427.606,5443.452,534482.827,733.999,385.884,306.597,0.000,0.000,238.374,171.509,16.000,19.000,73783.000,16441.000,11680,0,11680,0,11680,0,11680,11680,11680,0,0,0,0,7.183570,11.59x
sync,qat,128K,4,1088.232,5840,100.01,10685402,6555.365,7640.801,1335675.256,765.910,305.083,300.837,0.000,0.000,217.915,175.043,32.000,37.000,147511.000,32825.000,5840,0,5840,0,5840,0,5840,5840,5840,0,0,0,0,5.168653,16.92x
sync,qat,256K,4,1048.670,2920,100.01,10227643,11680.231,11705.048,2556910.752,1475.991,1089.611,815.295,0.000,0.000,185.411,139.613,64.000,73.000,294967.000,65593.000,2920,0,0,2920,0,2920,2920,2920,2920,0,0,0,0,4.218102,21.70x
sync,qat,512K,4,1082.715,1460,100.01,10077701,20085.845,19652.317,5038850.511,1642.658,1333.090,962.275,0.000,0.000,259.616,195.870,128.000,145.000,589879.000,131129.000,1460,0,0,1460,0,1460,1460,1460,1460,0,0,0,0,3.830104,24.58x
sync,qat,1M,4,981.266,732,100.28,10522730,36384.578,34842.511,10522729.514,1671.148,1377.173,960.888,0.000,0.000,277.637,223.702,256.000,289.000,1179703.000,262201.000,732,0,0,732,0,732,732,732,732,0,0,0,0,3.753156,25.25x
sync,sw,64K,4,1290.375,0,0.00,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,17.714286,11.56x
sync,sw,128K,4,1134.503,0,0.00,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,17.214427,16.90x
sync,sw,256K,4,1078.798,0,0.00,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,18.073905,21.60x
sync,sw,512K,4,1072.007,0,0.00,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,16.352766,24.51x
sync,sw,1M,4,1003.706,0,0.00,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,17.167289,25.26x
async_throughput,qat,64K,4,1344.343,0,0.00,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,11680,0,11680,11680,20.929526,11.56x
async_throughput,qat,128K,4,1214.415,5840,100.01,78449396,17305.884,8643.452,9806174.503,3298.701,1392.679,1786.896,413.753,205.493,648.482,268.440,32.000,37.000,147511.000,32825.000,5181,659,0,5840,0,5840,5840,0,0,5840,5840,0,0,9.682340,16.92x
async_throughput,qat,256K,4,1080.984,1398,47.88,77659629,69737.374,24533.197,19414907.360,7394.989,3451.275,5636.369,28.176,2.046,1098.328,728.090,64.000,73.000,294967.000,65593.000,1397,1,0,1398,0,1398,1398,0,0,2920,1398,1522,1522,13.121883,21.65x
async_throughput,qat,512K,4,1029.132,764,52.33,24541185,60701.390,31132.539,12270592.287,9900.072,4239.241,6328.918,0.000,0.000,928.233,852.147,128.000,145.000,589879.000,131129.000,764,0,0,764,0,764,764,0,0,1460,764,696,696,9.193786,24.56x
async_throughput,qat,1M,4,908.243,624,85.49,31085679,109796.454,39186.444,31085679.353,5395.883,3762.904,2511.508,0.000,0.000,727.500,500.385,256.000,289.000,1179703.000,262201.000,624,0,0,624,0,624,624,0,0,732,624,108,108,5.308640,25.26x
async_throughput,sw,64K,4,1401.763,0,0.00,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,15.807546,11.56x
async_throughput,sw,128K,4,1094.973,0,0.00,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,13.547303,16.90x
async_throughput,sw,256K,4,1094.408,0,0.00,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,12.695271,21.60x
async_throughput,sw,512K,4,999.267,0,0.00,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,12.973288,24.51x
async_throughput,sw,1M,4,911.025,0,0.00,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,11.958532,25.26x
smoke,qat,128K,1,859.566,1460,100.01,5996681,6730.034,7869.562,749585.123,806.637,328.479,326.130,0.000,0.000,248.199,194.466,32.000,37.000,147511.000,32825.000,1460,0,1460,0,1460,0,1460,1460,1460,0,0,0,0,6.143170,16.88x
smoke,qat,1M,1,606.874,0,0.00,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,12.118072,25.17x
smoke,sw,128K,1,880.341,0,0.00,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,13.405314,16.86x
