profile,jobs,recordsize,qat_src0_ms,qat_src1_ms,src1_elapsed_delta_pct,src1_wait_req_delta_pct,src1_service_mib_delta_pct,src1_setup_req_delta_pct,src1_submit_req_delta_pct,src1_cleanup_req_delta_pct,src1_cpu_delta_pct,src0_qat_byte_share_pct,src1_qat_byte_share_pct,src0_cap_skip_pct,src1_cap_skip_pct,src0_src_bufs_per_req,src1_src_bufs_per_req,src1_coalesce_copy_ns_per_req,src1_coalesce_bytes_per_req,sw_src0_ms,sw_src1_ms,qat_src0_vs_sw0_pct,qat_src1_vs_sw1_pct,src1_outcome
sync,4,64K,1312.477000,1193.951000,-9.030711,8.083589,10.633151,339.366899,-11.399148,250.273361,-4.851494,100.010000,100.010000,,,16.000000,1.000000,9666.059503,65536.000000,1247.576500,1253.380500,5.202126,-4.741537,candidate-win
sync,4,128K,1079.266000,1123.842000,4.130214,-1.823286,0.074397,378.719921,-22.027955,271.495719,7.844727,100.010000,100.010000,,,32.000000,1.000000,17240.086473,131072.000000,1128.647500,1086.634000,-4.375281,3.424152,regression
sync,4,256K,1048.543000,981.618500,-6.382619,-1.301388,0.810359,482.912485,-28.821976,196.302761,4.641688,100.010000,100.010000,,,64.000000,1.000000,40865.556507,262144.000000,990.027500,989.081000,5.910492,-0.754488,candidate-win
sync,4,512K,1057.748000,1034.128500,-2.232999,-0.660548,2.240802,754.487190,-33.804517,299.756633,7.940210,100.010000,100.010000,,,128.000000,1.000000,108130.732877,524288.000000,977.396500,968.862000,8.220973,6.736408,candidate-win
sync,4,1M,1017.112500,1002.570500,-1.429734,-2.031099,1.412882,1017.754380,-36.279971,541.364873,13.374229,100.280000,100.280000,,,256.000000,1.000000,243982.882514,1048576.000000,932.569000,953.702000,9.065656,5.124085,neutral/mixed
sync,8,64K,1772.296500,1840.689500,3.859004,-5.810722,-2.513665,407.464423,-11.438189,249.531039,8.848428,100.010000,100.010000,,,16.000000,1.000000,13054.801156,65536.000000,1795.685500,1722.733500,-1.302511,6.847025,regression
sync,8,128K,1523.259000,1584.122500,3.995611,-4.056327,-0.408719,689.386343,-16.952890,329.545055,13.618034,100.050000,100.040000,,,32.000000,1.000000,34053.187829,131072.000000,1488.831000,1490.890500,2.312418,6.253444,regression
sync,8,256K,1448.236000,1489.443000,2.845324,-4.424680,-1.495439,641.631276,-26.332840,212.813273,12.856739,100.095000,100.115000,,,64.000000,1.000000,52871.877352,262144.000000,1331.295000,1363.944500,8.784004,9.201144,regression
sync,8,512K,1486.511000,1466.427500,-1.351050,-3.139684,0.627530,933.569034,-32.446362,304.059952,16.872427,100.165000,100.265000,,,128.000000,1.000000,129947.916311,524288.000000,1438.465500,1422.340000,3.340052,3.099646,neutral/mixed
sync,8,1M,1519.603000,1514.851000,-0.312713,-1.217766,4.637827,1627.052459,-33.904486,537.138795,26.211518,100.760000,100.795000,,,256.000000,1.000000,417782.759089,1048576.000000,1426.249000,1383.409500,6.545421,9.501272,neutral/mixed
async,4,64K,1257.540500,1317.510000,4.768793,,,,,,-1.800396,0.000000,0.000000,100.000000,100.000000,,,,,1230.382000,1298.775000,2.207323,1.442513,regression
async,4,128K,1124.693500,1163.677500,3.466189,-51.793026,-51.301248,461.172967,-11.510156,81.353695,6.398489,67.275000,100.010000,32.730000,0.000000,32.000000,1.000000,48100.157534,131072.000000,1083.831000,1050.763500,3.770191,10.745900,regression
async,4,256K,1011.683500,1148.153000,13.489347,17.531938,21.417390,1219.812749,32.208906,350.939897,15.669382,48.120000,52.130000,51.880000,47.880000,64.000000,1.000000,280553.794350,262144.000000,984.164000,981.304500,2.796231,17.002724,regression
async,4,512K,931.853000,954.553000,2.436007,7.137535,13.527936,1917.161233,3.320539,333.975542,14.493354,47.095000,49.730000,52.910000,50.275000,128.000000,1.000000,453600.041322,524288.000000,977.684500,1008.099000,-4.687760,-5.311582,regression
async,4,1M,896.258000,905.383000,1.018122,-9.573413,-5.777966,2064.318896,-29.918792,323.262549,10.866094,77.265000,88.500000,22.950000,11.750000,256.000000,1.000000,888370.921053,1048576.000000,961.160500,911.109000,-6.752514,-0.628465,neutral/mixed
async,8,64K,1746.545500,1739.829000,-0.384559,,,,,,1.041351,0.000000,0.000000,100.000000,100.000000,,,,,1859.762000,1734.658500,-6.087688,0.298070,neutral/mixed
async,8,128K,1535.410000,1569.630000,2.228721,-14.880249,-14.484472,535.907484,-9.110614,94.888349,5.438520,75.625000,79.135000,24.425000,20.915000,32.000000,1.000000,37425.612963,131072.000000,1519.415500,1559.527500,1.052675,0.647792,regression
async,8,256K,1366.010000,1486.675500,8.833427,-39.023156,-36.296036,1646.622165,1.573984,262.885348,15.970034,64.415000,76.410000,35.665000,23.680000,64.000000,1.000000,174316.777230,262144.000000,1436.018000,1401.023000,-4.875148,6.113568,regression
async,8,512K,1258.761500,1392.814000,10.649555,-7.251820,-2.381864,1797.140220,-15.351187,242.864542,8.473863,61.975000,69.680000,38.190000,30.490000,128.000000,1.000000,322765.006144,524288.000000,1469.684000,1472.668000,-14.351554,-5.422403,regression
async,8,1M,1374.787000,1367.145500,-0.555832,14.954013,21.152286,3429.796111,-11.272258,330.719366,25.422644,82.405000,80.210000,18.250000,20.420000,256.000000,1.000000,1071044.030743,1048576.000000,1466.409500,1474.384500,-6.248084,-7.273476,neutral/mixed
