profile,jobs,recordsize,src_coalesce,mode,iters,sha_ok_all,elapsed_ms,latency_avg_ms,write_bw_mib_s,cpu_active_s_per_gib,cpu_system_s_per_gib,compressratio,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,qat_setup_ns_per_req,qat_submit_ns_per_req,qat_wait_ns_per_req,qat_cleanup_ns_per_req,qat_page_array_alloc_ns_per_req,qat_page_array_free_ns_per_req,qat_buffer_list_alloc_ns_per_req,qat_buffer_list_free_ns_per_req,qat_req_alloc_ns_per_req,qat_req_free_ns_per_req,qat_src_buffers_per_req,qat_dst_total_buffers_per_req,qat_bound_bytes_per_req,qat_scratch_bytes_per_req,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,comp_requests_delta,comp_in_delta,dc_fails_delta,dc_compress_submit_fails_delta,dc_compress_async_submits_delta,dc_compress_async_completions_delta,dc_compress_async_cap_skips_delta,coalesce_alloc_ns_per_req,coalesce_copy_ns_per_req,coalesce_free_ns_per_req,coalesce_bytes_per_req
async,4,64K,0,qat,2,yes,1257.540500,,580.535000,13.666774,13.558999,,0.000000,0.000000,100.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,11680.000000,0.000000,11680.000000,,,,
async,4,64K,0,sw,2,yes,1230.382000,,593.260000,13.471670,13.399811,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
async,4,64K,1,qat,2,yes,1317.510000,,555.305000,13.420718,13.355942,,0.000000,0.000000,100.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,11680.000000,0.000000,11680.000000,,,,
async,4,64K,1,sw,2,yes,1298.775000,,562.015000,13.567657,13.515175,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
async,4,128K,0,qat,2,yes,1124.693500,,649.940000,9.124857,9.044456,,67.275000,67.270000,32.730000,32.730000,139675034.500000,139456039.500000,15082.173500,8476.649000,17432004.986000,3815.512000,1416.879000,1778.324500,1355.719500,725.875500,647.008500,294.559000,32.000000,37.000000,147511.000000,32825.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3928.500000,514916352.000000,0.000000,,5840.000000,3928.500000,1911.500000,,,,
async,4,128K,0,sw,2,yes,1083.831000,,673.575000,11.516411,11.453220,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
async,4,128K,1,qat,2,yes,1163.677500,,627.350000,9.708710,9.661631,,100.010000,100.000000,0.000000,0.000000,68019998.000000,67227537.000000,84637.080500,7500.973500,8403442.104500,6919.572000,1586.256500,1999.207000,288.389500,189.394000,828.611500,578.387000,1.000000,37.000000,147511.000000,32825.000000,5840.000000,5840.000000,0.000000,765460480.000000,151367090.000000,280904920.000000,18633295.000000,5840.000000,765460480.000000,0.000000,,5840.000000,5840.000000,0.000000,25919.022260,48100.157534,3190.632705,131072.000000
async,4,128K,1,sw,2,yes,1050.763500,,694.775000,12.369063,12.279026,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
async,4,256K,0,qat,2,yes,1011.683500,,722.465000,8.226961,8.172462,,48.120000,48.120000,51.880000,51.880000,40560442.500000,40367119.500000,31673.212000,13286.926000,10091779.887000,3370.634000,1907.021000,1897.071500,22.504500,16.122000,569.827000,331.292000,64.000000,73.000000,294967.000000,65593.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1405.000000,368312320.000000,0.000000,,2920.000000,1405.000000,1515.000000,,,,
async,4,256K,0,sw,2,yes,984.164000,,741.865000,11.224030,11.162035,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
